count,subject,exact,broader,iconclass subject
1,"Anne (Cooke), Mrs St Andrew Warde Of Hooton Pagnell",,,
1,"Anne (Elliot), Wife Of 5th Earl | Ferrers (1723-1791)",,,
1,"Anne (Finch), Lady Twysden (1574-1638)",,,
1,"Anne (Mudge), Mrs James Yonge",,,
1,"Anne (Mytton), Mrs Davies",,,
1,"Anne (Poyntz), Lady Heneage",,,
1,"Anne (Walker), First Wife Of Sir Philip Harcourt",,,
1,"Anne (Wedderburn), Wife Of 11th Bt.",,,
1,Anne (Wodehouse) Lady L'estrange (1668-1727),,,
1,Anne . Duchess Of Rothes,,,
1,"Anne Amelia, Countess Of Leicester With Lady Margaret Coke",,,
1,Anne And Elizabeth Clerk,,,
1,"Anne Atkyns, Mrs. John Tracy",,,
1,"Anne Boyle, Countess Of Sandwich (d. 1671)",,,
1,"Anne Boyle, Wife of the 2nd Earl of Sandwich",,,
1,"Anne Brett, Countess Of Middlesex (d.1670)",,,
1,Anne Brise With Squirrel,,,
1,"Anne Brise, Mrs Thomas Ruggles",,,
1,"Anne Bristow, Later Countess Of Effingham",,,
1,"Anne Browne, Lady Petre",,,
1,"Anne Brudenell, Duchess of Richmond (1678-1722), (detail) of Bust",,,
1,"Anne Brudenell, Duchess of Richmond (1678-1722), Bust and Frame",,,
1,"Anne Brudenell, Duchess of Richmond (1678-1722), General View",,,
1,Anne Campion,,,
1,"Anne Carr, Countess Of Bedford (1617-1684) Aged 22",,,
1,"Anne Carwardine, Mrs Lodomei",,,
1,"Anne Cavendish, Countess Of Exeter (1649-1703)",,,
1,"Anne Cecil, Countess Of Stamford",,,
1,"Anne Churchill, Countess Of Sunderland (1683-1716)",,,
1,"Anne Clifford, Countess Of Dorset",,,
1,"Anne Clifford, Countess Of Dorset, Later Countess Of Pembroke",,,
1,"Anne Clifford, Countess Of Pembroke &amp; Montgomery",,,
1,"Anne Coke, Lady Bacon",,,
1,"Anne Cooke, Lady Bacon (1528-1610)",,,
1,Anne Countess Of Roden,,,
1,"Anne Craigie Donnel, Aged 6",,,
1,"Anne Dacres, Countess Of Arundel",,,
1,"Anne Digby, Countess Of Sunderland",,,
1,"Anne Dorothy Smith-Barry (1748-97) Elder D Of Hon John Smith-Barry Buried At Budworth, Cheshire",,,
1,"Anne Dorothy Smith-Barry Elder D Of Hon John Smith-Barry Buried At Budworth, Cheshire",,,
1,"Anne Elizabeth, Countess Aldbrough",,,
1,"Anne Elliot (1729-1816), Daughter Of Richard And Widow Of Captain Bonfoy, R.N.",,,
1,Anne Eyre,,,
1,"Anne Finch, Countess Of Dartmouth",,,
1,Anne Forbes,,,
1,"Anne Ford, Mrs Thicknesse (1737-1824)",,,
1,Anne Frewen Turner,,,
1,Anne Graeme,,,
1,Anne Greville Countess Of Kingston,,,
1,"Anne Greville Kingston, Wife Of The 4th Earl Of Brook",,,
1,"Anne Hale, Mrs Hoskins",,,
1,"Anne Hales (1736-1795), Widow Of Anthony, Lord Feversham And 3rd Wife Of William, 1st Earl Of Radnor",,,
1,"Anne Hales (1736-1795), Widow Of Anthony, Lord Feversham, And 3rd Wife Of William, 1st Earl Of Radnor",,,
1,"Anne Hamilton, Lady Grant",,,
1,"Anne Hamilton, Mrs Ward",,,
1,"Anne Hansbury, Daughter Of William Hanbury, And Wife Of Sir Sotherton Bramway Micklethwait Of Eridge Place Sussex",,,
1,"Anne Harrison, Wife Of Sir Richard",,,
1,Anne Hoare,,,
1,"Anne Hoare (D. 1727), Wife Of Henry Hoare II",,,
1,Anne Hoby,,,
1,"Anne Howard, Lady Yonge (+1775)",,,
1,"Anne Howard, Viscountess Preston, Wife Of Viscount Preston. (1648-1695)",,,
1,Anne Hyde,,,
1,"Anne Hyde, Duchess Of York",,,
1,Anne Isabella Viscountess Hawarden 1759-1851,,,
1,Anne Keene,,,
1,Anne Keene.,,,
1,"Anne Killigrew, Mrs Kirke",,,
1,"Anne Knapton, Mrs Damsey",,,
1,"Anne Leake, Lady Hobart (D. 1684)",,,
1,"Anne Lewkenor, Wife Of Sir Nicholas Le Strange (1612-1651)",,,
1,"Anne Lyde, Wife Of Richard Du Cane",,,
1,"Anne Maria Barrett-Lennard, Baroness Dacre, Nee Pratt",,,
1,"Anne Martin, Daughter Of James Martin",,,
1,Anne Miller,,,
1,Anne Neptune And Her Son,,,
1,"Anne Newnham, Later Lady Ryder",,,
1,"Anne Olivier Popham [2024, YCBA]",,,
1,Anne Page and Slender,,,
1,"Anne Page and Slender ... .. (Shakespeare: the Merry Wives of Windsor, Act. I, Sc. 1)",,,
1,Anne Penny 1738-77 (Wife Of Noble James Jones). 1731-1823 E Cousin Of Edward Penny,,,
1,Anne Phillimore,,,
1,"Anne Pitt, Sister Of Lord Chatham",,,
1,"Anne Pole-Carew, Lady Somers",,,
1,Anne Purdon (née Caulfield) as a Young Girl,,,
1,Anne Ramsay,,,
1,"Anne Russel, Countess of Warwick",,,
1,"Anne Sandby As Emma, The Nut-Brown Maid",,,
1,Anne Sandford (1724-1773),,,
1,"Anne Sandford, Wife Of The Rev. Daniel Austin",,,
1,Anne Sarah Rodhard Aged 10,,,
1,"Anne Scarborough, Lady Irwin (C.1699-1766)",,,
1,"Anne Selby Burrell Ord, Fifth Lady Gwydyr",,,
1,Anne Seton,,,
1,Anne Seymour Damer (née Conway),,,
1,"Anne Sherard, Lady Brownlow (1659-1721)",,,
1,"Anne Smith, Daughter Of Sir Thomas Strickland (1666-?)",,,
1,"Anne Smith, Mrs Thomas Ruddiman (D.1769)",,,
1,Anne Spencer,,,
1,"Anne St. John, Countess Of Rochester",,,
1,"Anne Stanhope, Duchess Of Somerset (1497 -1587)",,,
1,Anne Stirling (1706-1779),,,
1,Anne Suckling,,,
1,Anne Taylor,,,
1,Anne Temple (Later Mrs. Lempriere),,,
1,"Anne Temple, Mrs. Lempriere",,,
1,Anne Urry (166? - 1739) Daughter Of David Urry And 2nd Wife Of Sir William Des Bouverie,,,
1,"Anne Uvedale, Mrs. Henslowe (D. 1639)",,,
1,Anne Vanlore (d.1625) 1st Wife Of Sir Charles Adelmare Caesar,,,
1,"Anne Vannam Somerville, Later Mrs Fownes",,,
1,Anne Vavasour 1605,,,
1,Anne Vervelst (1751-1835),,,
1,"Anne Villiers, Countess Of Sussex, As A Shepherdess",,,
1,Anne Warburton,,,
1,Anne Webouts,,,
1,"Anne Wentworth, Countess / Fitzwilliam",,,
1,"Anne Wentworth, Countess Fitzwilliam",,,
1,Anne Whitham of Cliffe,,,
1,Anne Wilson,,,
1,"Anne Wodehouse, Lady L'Etrange 1668-1727",,,
1,"Anne Wyatt, Lady Twysden",,,
1,"Anne Yale, Wife Of Lord James Cavendish In Peeress's Robes",,,
1,"Anne, 3rd Duchess Of Hamilton",,,
1,"Anne, Baroness Dacre, Wearing A Red Dress And Green Cloak",,,
1,"Anne, Countess Albemarle",,,
1,"Anne, Countess Of Carlisle",,,
1,"Anne, Countess Of Hopetoun (Died 1759)",,,
1,"Anne, Countess Of Macclesfield",,,
1,"Anne, Countess Of Mornington (d. 1831)",,,
1,"Anne, Countess Of Mornington Feeding Two Peacocks",,,
1,"Anne, Countess Of Mountnorris",,,
1,"Anne, Countess Of Shaftesbury, Wife Of The 6th Earl Of Shaftesbury",,,
1,"Anne, Countess Of Strafford (d.1785), 2nd Daughter Of John Campbell, 2nd Duke Of Argyll &amp; Wife Of William Wentworth, 4th Earl Of Strafford",,,
1,"Anne, Countess Winterton",,,
1,"Anne, Countess of Hopetoun",,,
1,"Anne, Countess of Mornington Surrounded by the Effigies of Her Sons Marquess Wellesley, Lord Maryborough, Duke of Wellington and Lord Cowley.",,,
1,"Anne, Daughter Of Lord Francis Powlett",,,
1,"Anne, Daughter Of Lord Vaux And Wife Of Thomas Le Strange",,,
1,"Anne, Daughter Of The 1st Baron Trevor",,,
1,"Anne, Duchess Of Cleveland, Wife Of Charles, 1st Duke Of Cleveland, And Daughter Of Sir William Pulteney",,,
1,"Anne, Lady Fitzwilliam",,,
1,"Anne, Lady Hunsdon",,,
1,"Anne, Lady Hunsdon (?)",,,
1,"Anne, Lady Penruddocke",,,
1,"Anne, Lady Rockingham, Wife Of Edward Lord Rockingham",,,
1,"Anne, Lady Throckmorton",,,
1,"Anne, Lady Wentworth, Later Countess Of Downe, And Her Children The English Icon - Cat 289",,,
1,"Anne, Marchioness Of Donegall",,,
1,"Anne, Queen Of Denmark",,,
1,"Anne, Susannah Warburton, Mrs Richard Pennant",,,
1,"Anne, Viscountess Pollington, Later Countess Of Mexborough (+1870), With Her Infant Son",,,
1,"Anne, Viscountess Preston, 1673",,,
1,"Anne, Viscountess St John (1711–1747) 1st Wife Of 2nd Vct. St. John",,,
1,"Anne, Viscountess, Afterwards Marchioness Of Townsend, C. 1780",,,
1,"Anne, Wife Of James Sotheby (1657-1727)",,,
1,"Anne, Wife To George/John Venables Vernon",,,
1,Anne-Stewart Of Blairhall (d. 1798); 2nd Wife Of The Titular 6th Earl Of Airlie.,,,
1,"Annefield House, Near Glasgow",,,
1,"Annetta Bridges, Wife Of Thomas Pelham",,,
1,Annie Graham,,,
1,Annie Miller,,,
1,Annie Munroe,,,
1,Annie's Tryst,,,
1,Annie's Tryste,,,
1,Anno Bridge,,,
1,Announcement for Printseller John Jeffryes,,,
1,Announcement for Thomas Sandby,,,
1,Annual Lavatera and Normal Passion Flower,,,
1,Anon English Xvii-Xviiith Century,,,
1,Anon Gentleman with Mid-Length Hair,,,
1,"Anon Man, after the Antique",,,
1,Anon Nobleman: Possibly the Earl of Strafford,,,
1,Anon Old Man,,,
1,Anon Profile Portrait,,,
1,Anon View,,,
1,Anon Young Man,,,
1,Anon Young Woman,,,
1,Anon. Gentleman.,,,
1,Anonymous,,,
1,Anonymous Boy,,,
1,Anonymous Boy and Dog (detail),,,
1,Anonymous Girl,,,
1,Anonymous Lady,,,
1,Anonymous Landscape,,,
1,Anonymous Man,,,
1,Anonymous Mythological Subject,,,
1,Anonymous Portrait Bust,,,
1,"Anonymous Young Man, Possibly 8th Duke of Bedford",,,
1,Anonymous Young Woman,,,
1,Anostoma Ringeus L.,,,
1,Another Candlestick,,,
1,Another View Of Church Of Toy Village,,,
1,"Ansgrath Bridge, Yorkshire",,,
1,Answering The Emigrant's Letter,,,
1,"Ante Room, Carlton House, 1819",,,
1,"Ante Room, Looking North, Carlton House",,,
1,Ante-Diluvian Society,,,
1,"Antechamber to Queen's Chamber Landscape with Ruins, Figures and Animals",,,
1,Antechamber to Queen's Chamber Lion Hunt,,,
1,"Antechamber to Queen's Chamber: Landscape with a Peasant and Mule, and Animals",,,
1,"Anthony , Father Of Arthur Devis",,,
1,"Anthony , Half Brother To Arthur Devis",,,
1,"Anthony Ashley Cooper, 4th Earl Of Shaftesbury",,,
1,"Anthony Ashley, 3rd Earl Of Shaftesbury (1671-1713) And The Hon Maurice Ashley",,,
1,"Anthony Askew, M.D.",,,
1,"Anthony Brown, 6th Viscount Montagu (1686-1767)",,,
1,"Anthony Browne, Viscount Montague",,,
1,Anthony De Huybert,,,
1,Anthony Devis,,,
1,Anthony Devis Artist's Brother,,,
1,Anthony Duncombe (1695? -1763) Later Lord Feversham Of Downtown,,,
1,"Anthony Eyre Of Grove Hall, Nottinghamshire",,,
1,Anthony Foster,,,
1,"Anthony Henley, M. P., Of The Grange, Hampshire",,,
1,Anthony Maxtone Of Cultoquhey (1773-1846) Holding Plans Of The New Cultoquhey House,,,
1,Anthony Morris Storer,,,
1,"Anthony Parmenter Sheriff 1706, Mayor 1717",,,
1,Anthony Pasquin,,,
1,"Anthony Sparrow (D1686), Bishop Of Exeter (1667–1676), Bishop Of Norwich (1676–1686)",,,
1,"Anthony Tracy-Keck, Esc And His Wife Lady Susan Nee Lady Susan Hamilton, And Their Daughters Susan And Charlotte",,,
1,Anthony Webster as Comus,,,
1,"Anthony, 3rd Earl Of Shaftesbury, And His Brother The Hon. Maurice Ashley One In Brown Dress And The Other In Grey, In A Landscape In The Tradition Of Xenophon",,,
1,"Anthony, Fifth Earl Of Shaftesbury (1761-1811)",,,
1,Anticipation,,,
1,"Antigens in the Storm, From the Winter's Tale",,,
1,Antigonus Disposing Of Perdita,,,
1,Antigonus in the Storm,,,
1,Antilebanon And Mount Hermon,,,
1,Antinous with His Jockey (Pilkington) Who Was Also His Trainer,,,
1,Antiope,,,
1,"Antique Candelabrum In S. Agnese Fuori Le Mura, Rome, Elevation And Three Sections",,,
1,Antique Cup And Cover,,,
1,Antique Vase,,,
1,Antiquities Of Pola,,,
1,Antium Seen From Outside The City Walls: A Stage Set For Coriolanus,,,
1,Antlered Man Walking Into The Forest: detail Of Sheet,,,
1,Antoine De La Roque,,,
1,"Antoine Triest, Bishop of Ghent, after the Picture by Van Dyck",,,
1,Anton The Weaver,,,
1,"Antoninus And Faustina Temple, Rome, Profile Of Entablature",,,
1,Antonio Canova (1757-1822),,,
1,Antonio Canova In His Studio,,,
1,Antonio Canova The Sculptor,,,
1,Antonio Pietro Zucchi A. R. A.,,,
1,Antonio Sacchini (1730-1786),,,
1,"Antony and Cleopatra Act 5, Sc. 5 Hanmer Edition of Shakespeare Vol. V",,,
1,Antony and the Body of Caesar,,,
1,Antwerp - Morning,,,
1,"Antwerp From The Scheldt, Morning",,,
1,"Antwerp, On The Scheldt",,,
1,Anubis,,,
1,"Anvil, A Dark Bay Racehorse",,,
1,"Anvil, by Herod Cut Out of a Mare by Feather",,,
1,Anxious News,,,
1,Anyone's Race,,,
1,"Aosta Valley, Piedmont, Italy",,,
1,Apelles Drawing Venus And Cupid,,,
1,Apelles Singling Beauties From A Variety Of Models,,,
1,"Apocalypse XIV, V. 13",,,
1,"Apollo &amp; The Muses, Inflicting Penance On Dr Pomposo, Round Parnassus",,,
1,Apollo &amp; The Seasons,,,
1,Apollo Allowing Phaeton Do Drive The Chariot Of The Sun,,,
1,Apollo And Artemis,,,
1,Apollo And Coronis,,,
1,Apollo And Marsyas Midas (Partly Hidden By Staircase),,,
1,Apollo And Poetry,,,
1,Apollo And Silenus,,,
1,Apollo And The Nine Muses,,,
1,Apollo And The Python,,,
1,Apollo In His Chariot,,,
1,"Apollo Leaning A Bow, Study From A Cast After An Unkown Classical Sculptor",,,
1,Apollo Persuing Daphne To The Edge Of Her Father Peneu's River,,,
1,Apollo Seated Upon a Cloud with a Harp and Minor,,,
1,Apollo Slaying Coronis,,,
1,Apollo Tending The Flocks Of Admetus,,,
1,Apollo and Daphne,,,
1,Apollo and Hyacinthus (The Death of Hyacinthus),,,
1,Apollo and the Muser,,,
1,"Apollo, Aided By The Winds, Slaying Python",,,
1,"Apollo, Diana and Hercules",,,
1,"Apollo, Or the Young Bacchus",,,
1,"Apollonia, Wife Of 5th Lord Clifford",,,
1,Apolonius Veth,,,
1,Apostolus Zeno,,,
1,"Apotheosis Of 'captain Lord Robert Manners, R N '",,,
1,Apotheosis Of Captain Cook,,,
1,Apotheosis Of Charles II 1630-84,,,
1,Apotheosis Of Princess Charlotte (1796-1817),,,
1,Appealing Figures,,,
1,Appearance Of The Angel To Hagar In The Desert,,,
1,Apple Blossom,,,
1,"Apple Gatherers In The Rhine Valley, Ragaz",,,
1,"Apple Gatherers In The Rhine Valley, Regaz",,,
1,"Apple Gathering, Quimperle",,,
1,Apple Picking,,,
1,"Apple, Grapes and a Nut",,,
1,Appleby,,,
1,Appleby Westmorland,,,
1,"Appleby, Westmorland",,,
1,"Appleford, North Devon.",,,
1,Apples,,,
1,Apples (sketch),,,
1,Applicants For Admission To A Casual Ward,,,
1,Apprentice Married and Fitting His House,,,
1,Apprentices Making Copies in a Sculptor's Workshop,,,
1,Approach to the Ruins of Llandaff Cathedral From Cardiff,,,
1,"Approaching Storm, Madras",,,
1,"Approaching Storm, Madras, 1833 (An Indian Coast Scene With An Approaching Storm)",,,
1,Approaching The Winning Post,,,
1,Approaching the Winning Post; Verso: Pen and Ink Sketch of a Start and Pencil Sketch of a Horse and Others,,,
1,Apricots,,,
1,April Love,,,
1,Apré Le Bal (Study),,,
1,Apsley House and Piccadilly from Hyde Park Corner,,,
1,Aqua Claudia P. 1,,,
1,Aqua Claudia P. 2,,,
1,Aqua Claudia P. 3,,,
1,Aqua Claudia; Landscape Tower In A Wooded Valley.,,,
1,Aqua Fresca,,,
1,Aquaduct At Segovia,,,
1,Aquarius (detail Of Saloon Ceiling),,,
1,Aqueduct,,,
1,Aqueduct Beyond The Fortifications At Trepani,,,
1,Aqueduct Bridge At Clifton Hall Near Linlithgow,,,
1,Aqueduct In A Gorge,,,
1,Aqueduct Of Nero Rome,,,
1,Aqueduct Outside Rome,,,
1,Aquilegea Design,,,
1,Ar Merrick,,,
1,Arab Boy Sitting on a Step,,,
1,"Arab Chieftain, No. 2",,,
1,Arab Dhows Off The Coast,,,
1,Arab Girl,,,
1,"Arab Horsemen, One Brown and One Grey Horse",,,
1,"Arab Horsemen, Three Grey Horses",,,
1,"Arab Horsemen, Two Brown Horses",,,
1,"Arab Horsemen, Two Grey Horses",,,
1,Arab Mare And Foal With Attendants In An Eastern Landscape,,,
1,Arab Merchant,,,
1,Arab Prisoners,,,
1,Arab Sentinel,,,
1,Arab Stallion In A Landscape,,,
1,Arab Stallions Fighting,,,
1,Arabella Aufrere (née Bate),,,
1,Arabella Craven With Her Nurse,,,
1,Arabella Penelope Reynolds (Afterwards Mrs John Betterworth),,,
1,Arabella Penelope Reynolds (Afterwards Mrs John Bettesworth),,,
1,Arabella Rowe,,,
1,Arabella Stuart,,,
1,Arabella Stuart (J.K.),,,
1,Arabella Waldegrave,,,
1,Arabella Waldegrave As A Nun,,,
1,"Arabella, 3rd Duchess of Dorset (1769-1825)",,,
1,Arabian Merchants,,,
1,"Arabian School, And Swiss Cottage",,,
1,Arabs Chasing A Loose Arab Horse In An Eastern Landscape,,,
1,Arabs Resting Outside A Town,,,
1,Arabs Returning From Burning A Village,,,
1,Aran Pen Llyn And Cader Idris From Bala Lake,,,
1,Aratus,,,
1,Aratus P. 393,,,
1,Arbroath Abbey,,,
1,Arcade And Tank,,,
1,"Arcade Of Monastery, Padua",,,
1,Arcadia,,,
1,Arcadian Landscape With Goatherds,,,
1,Arcadian Shepherd,,,
1,Arcadian Shepherds,,,
1,Arcalia Tuberosa,,,
1,"Arcangelo Corelli, Seated The Muse Of Music In The Background",,,
1,"Arch In Kew Gardens, London",,,
1,"Arch Of Constantine, Rome",,,
1,"Arch Of Titus, Rome",,,
1,"Arch Of Titus, Rome, Molding Profiles Of Capital And Base Of The Pedestal, And Base Of Column",,,
1,"Arch Of Titus, Rome, Plan",,,
1,"Arch Of Titus, Rome, Section",,,
1,Arch of Titus,,,
1,Archbishop Bancroft,,,
1,Archbishop James Ussher (1580-1656),,,
1,Archbishop John Spottiswoode,,,
1,Archbishop Laud,,,
1,Archbishop Laud After Van Dyck,,,
1,Archbishop Matthew Hutton II (1693-1758),,,
1,"Archbishop Matthew Parker, Archbishop Of Canterbury 1559–1575",,,
1,"Archbishop Of Canterbury, Archibald C Tait",,,
1,"Archbishop Of Canterbury, Charles Longley",,,
1,"Archbishop Of Canterbury, Edward White Benson",,,
1,"Archbishop Of Canterbury, William Howley (1828-48 Archbishop) Marble",,,
1,Archbishop Robinson,,,
1,Archbishop Thomas Herring 1693-1757 Bishop Of Bangor 1741,,,
1,"Archdeacon C. A. Harris, 1813-74 3rd Son of 2nd Earl of Malmesbury",,,
1,Archdeacon Strachey And His Family,,,
1,"Archduchess Maria Amalia Of Austria, Wife Of Don Ferdinando Di Borbon",,,
1,Archduke Charles Of Austria,,,
1,Archers And Stag,,,
1,Archers Stalking a Stag,,,
1,"Archery Meeting, Bradgate Park, 1850",,,
1,Archery Practice On The Lawn At Cowdray Lodge,,,
1,Arches,,,
1,Arches In The Bridge At Bury St. Edmunds,,,
1,"Arches Near the East Gate, Bury St. Edmunds, Suffolk 1777",,,
1,Archibald Campbell 3rd Duke Argyll,,,
1,"Archibald Campbell Of Blackhouse, Ayrshire",,,
1,Archibald Clevland (1738-1765),,,
1,Archibald Constable Of Edinburgh Standing By An Open Window Through Which Can Be Seen Edinburgh,,,
1,Archibald Duff Of Drummuir (1721-88),,,
1,Archibald Forbes (1838-1900),,,
1,Archibald Hope (1762-1782),,,
1,Archibald Hope Of Amsterdam,,,
1,Archibald Macdonald As A Young Man,,,
1,"Archibald Montgomerie, 11th Earl Of Englinton (1726-96)",,,
1,Archibald Stirling Of Keir (1710-83),,,
1,Archibald Trotter,,,
1,"Archibald, 3rd Duke Argyll (1758); (Duke Of Northumberland, Alnwick)",,,
1,"Archibald, 3rd Duke Of Argyll (1682-1761)",,,
1,"Archibald, 3rd Duke Of Argyll 1748",,,
1,"Archibald, 3rd Duke Of Argyll 1749",,,
1,Archibishop John Tillotson (1630-94),,,
1,"Archiepiscopal Palace, Wrotham, Kent",,,
1,Architectonica Trochlearis Hinds.,,,
1,"Architectural And Decorative Design For The Interior Of Houghton Hall, Norfolk",,,
1,Architectural Design For The West Front Of Chatsworth,,,
1,"Architectural Design. On The Front, A Monumental Gateway, Inscribed W. The Name + Title Of Queen Anne, Repetition + details. On Reverse, An Ornamental Fountain With Plan And Sketches Of Buildings.",,,
1,Architectural Drawing &amp; ! With A ! Symbols,,,
1,Archway And Cottage,,,
1,Archway At Pigotts,,,
1,Archway In Old City At St. Augustine's Norwich,,,
1,"Arena, S. Marie Capua Vetere, Plan And details Of Arcade",,,
1,"Arenzano From Voltri, 8. 30 A. M. ., 24 Dec'r, 1864",,,
1,"Arenzano, 9a. M., 24 Dec'r 1864",,,
1,Arethusa,,,
1,Argalus And Parthenia Declare Their Love,,,
1,Argalus And Parthenia Embrace,,,
1,Argalus And Parthenia: Frontispiece,,,
1,Argalus Attempts To Comfort The Disfigured Parthenia,,,
1,Argalus First Sees Parthenia,,,
1,Argalus Refreshes Himself,,,
1,"Argentina Theatre, Rome, Section Through Roof, And Sketch Plan Of Theatre",,,
1,Argonauta Nodoso Sol.,,,
1,Argos and Lanssa,,,
1,Ariadne Visited on Naxos,,,
1,Ariadne Watching The Struggle Of Theseus With Minotaur,,,
1,"Ariadne, Theseus And The Minotaur",,,
1,"Ariadne, Theseus and the Monsters",,,
1,"Ariccia, Palazzo Chigi",,,
1,"Ariel Driving In Trinculo, Stephano And Caliban",,,
1,Ariel From The Tempest,,,
1,Ariel On A Bat's Back,,,
1,Ariel Playing the Lute: the Tempest,,,
1,"Ariel Sings, The Tempest Act I, Scene 2",,,
1,"Ariel; A Study For 'the Tempest""",,,
1,Arion - Study For Painting,,,
1,Ariosto,,,
1,Aristides the Athenian,,,
1,Aristotle,,,
1,Arkley,,,
1,"Arkwight's Cotton Mills, by Night",,,
1,Arkwright's Cotton Mills by Night,,,
1,Arkwright's Mill (View),,,
1,Arlquyn Actionist,,,
1,Arm And A Hand,,,
1,Armageddon,,,
1,Armed Boats Off The English Shore,,,
1,"Armed, Helmeted and Cloaked Man Standing before Women",,,
1,Armenian Women,,,
1,Armida And Rinaldo In The Enchanted Island,,,
1,Armine (L'estrange) Styleman,,,
1,Armine (Le Strange) Styleman,,,
1,"Armine Crewe, Mrs Cartwright",,,
1,Armored Men Attending A Fallen Horse,,,
1,Armour,,,
1,Armour - 1460,,,
1,Armour - 1540,,,
1,Arms of the Earl and Countess of Powis; Apotheosis of Venice,,,
1,Army Reorganisation In Morocco,,,
1,"Arnhold Joost Van Keppel, 1st Earl Of Albemarle, K.G. (B.1670)",,,
1,"Arno, A Villa Among Trees And Bushes",,,
1,"Arnold Joost Van Keppel, 1st Earl Of Albemarle (1670-1718)",,,
1,Arona On The Lago Maggiore,,,
1,"Arona, Lago, Maggiore",,,
1,Arouse Shooting,,,
1,Arriv'd From Italy The Puffing Phoenomenon With His Fiery Tail Turned Bridge Builder,,,
1,Arrival At A Ball In Glenfeshie - The Duchess Of Bedford And Party,,,
1,Arrival At A Spanish Shrine,,,
1,Arrival At An Inn,,,
1,Arrival Of Prince Frederick From Hanover 1728,,,
1,Arrival Of The Coach At Bath,,,
1,"Arrival Of The Doctor, Fee-Fa-Fum, And Patient And Nurse",,,
1,Arrival Of The Duchess's Page At Sancho's House (Pl 50),,,
1,"Arrival Of The Emperor &amp; Empress Of The French At Dover, April 16, 1855",,,
1,Arrival Of The Fire Engine,,,
1,"Arrival Of The Stagecoach At The Sun Inn, Bodmin, Cornwall",,,
1,Arrival of a Company of Soldiers at an Inn.,,,
1,"Ars Longs, Vita Brevis'",,,
1,"Arshi Usta, Officer And Cook Of The Tanifsaries - (One Of Set Of Twenty-Nine)",,,
1,"Arshi, Cook Of The Seraglio - (One Of Set Of Twenty-Nine)",,,
1,Art Critics In Brittany,,,
1,Art Instruction In The Later 1760's - A Young Man And His Tutor Demonstrating The Use Of An Ecorche Figure,,,
1,Art's Poor Reward,,,
1,Artecvi,,,
1,Artemis and Her Hound,,,
1,Arthur And William Somerville,,,
1,"Arthur Annesley, 1st Earl Of Mountnorris (1744–1816)",,,
1,"Arthur Arscott, M.P.",,,
1,Arthur Beetham,,,
1,Arthur Champernowne,,,
1,"Arthur Chichester, 1st Marquess Of Donegall, Age 6 (1739-1799)",,,
1,"Arthur De Vere, Viscount Malden And The Hon. Reginald Capel, Children Of The 6th Earl Of Essex",,,
1,Arthur Goodwin (1593? - 1643),,,
1,"Arthur Gore, 1st Earl Of Arran",,,
1,"Arthur Heathcote Of Durdan's Park, Epsom, With His Hounds.",,,
1,Arthur Henry Hallam (1811-33),,,
1,Arthur Holdsworth,,,
1,"Arthur Holdsworth, Thomas Taylor, And Captain Stancombe Conversing By The River Dart 1757 (?)",,,
1,"Arthur Holdsworth, Thomas Taylor, And Captain Stancombe Conversing By The River Dart, 1757 (Portrait Group In A Landscape With Dartmouth Castle In The Distance)",,,
1,Arthur In Avalon A Study,,,
1,Arthur In Avalon: Studies Of The Seated Attendants,,,
1,Arthur In Avalon: Studies Of The Seated Attendants And Drapery,,,
1,Arthur Lake,,,
1,"Arthur Littlejohn Esq.,",,,
1,"Arthur Lord Capel, Later First Earl Of Essex With His Wife, Elizabeth",,,
1,Arthur Murphy,,,
1,Arthur Murphy (1727-1805),,,
1,"Arthur Richard, Marquess Of Douro, Lord Charles Wellesley &amp; The Hon. G.V. Wellesley In The Park, Stratfield Saye",,,
1,Arthur Taken Prisoner: A Scene From Shakespeare's King John.,,,
1,Arthur Tremayne Of Sydenham (1700-1798),,,
1,"Arthur Wellesley, 1st Duke Of Wellington",,,
1,"Arthur Wellesley, 1st Duke Of Wellington (1769-1852)",,,
1,"Arthur Wellesley, 1st Duke Of Wellington 1759-1852)",,,
1,"Arthur Wellesley, 1st Duke of Wellington (1769–1852)",,,
1,"Arthur Wellesley, 1st Duke of Wellington, K. G., Wearing Staff Uniform, the Neck Badge of the Order of the Golden Fleece, the Breast Star of the Garter and the Badge of the Order of the Bath",,,
1,"Arthur Wellesley, Duke Of Wellington (1769-1852)",,,
1,"Arthur Wellesley, First Duke Of Wellington",,,
1,Arthur Young,,,
1,"Arthur Young, First Secretary of the Board of Agriculture",,,
1,Arthur as a Baby,,,
1,"Arthur, 1st Duke of Wellington",,,
1,"Arthur, 1st Marquess Of Donegall (1739-99)",,,
1,"Arthur, 2nd Duke Of Wellington (1807-1884)",,,
1,"Arthur, 2nd Duke of Wellington (1807-1887)",,,
1,"Arthur, 2nd Duke of Wellington and Lord Charles Wellesley when Children.",,,
1,"Arthur, 4th Duke Of Wellington (1849-1934)",,,
1,"Arthur, 4th Duke Of Wellington As A Child",,,
1,"Arthur, 4th Earl Of Donegall (1695-1757)",,,
1,"Arthur, Duke Of Brittany, Begs Hubert De Burgh Not To Have His Eyes Burnt Out.",,,
1,"Arthur, Duke Of Wellington (1769-1852)",,,
1,"Arthur, Earl Of Donegal",,,
