count,country,region,tgn_or_wiki_label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri
19,England,Northamptonshire,Northamptonshire,Northamptonshire,,,,counties,"Comprises wooded hills and river valleys; has pre-Celtic and Roman remains; boundries almost identical to those laid down in 1096; scene of several battles during Civil War (1642-1645); industries include engineering, shoe-manufacturing, and food-processing.",,http://vocab.getty.edu/tgn/7012031,
19,United States,Puerto Rico,Puerto Rico,Puerto Rico,Portorico,Puerto Rico,Porto Rico,unincorporated territories,"Earliest inhabitants immigrated from Florida or Orinoco basin of South America; was inhabited by Arawaks under threat from Caribs when Columbus visited in 1493; Spanish settlers wiped out Arawaks, brought Africans here as slaves for gold mines & plantations; official language is Spanish, though English is also spoken. Puerto Rico does not have first-order administrative divisions according to CIA World Factbook, instead at the second order it has 78 municipalities.",unincorporated territory of the United States of America,http://vocab.getty.edu/tgn/7004643,http://www.wikidata.org/entity/Q1183
18,,New Jersey,New Jersey,New Jersey,,,New Jersey,states,"Was summer home of Delaware (Lenni Lenape) Indians when Dutch, English, Scots-Irish and Swedes settled here in 17th cen.; Tory activity and several battles occurred in area during Revolution; sentiment was mainly pro-Union in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007565,http://www.wikidata.org/entity/Q1408
18,England,Norfolk,Norfolk,Norfolk,,,,counties,"Low-lying area crossed by rivers Yare, Wensum, and Bure; noted for Paleolithic, Mesolithic, and Neolithic remains; occupied by British Inceni people in the 3rd century; was wealthy and densely populated in the 11th century; economy based on food-processing, fishing, and shoes.","county in East Anglia, England, UK",http://vocab.getty.edu/tgn/7008160,http://www.wikidata.org/entity/Q23109
17,,California,California,California,,Kalifornien,Californie,states,"Inhabited by many ethnic nationalities including Mojave, Yuma and Chumash when Spanish arrived in 16th cen.; Franciscans established missions all along coast; went to Mexico in 1820s; went to US in 1848; great influx of settlers from E arrived in gold rush.",state of the United States of America,http://vocab.getty.edu/tgn/7007157,http://www.wikidata.org/entity/Q99
17,United States,West Virginia,West Virginia,West Virginia,Virginia Occidentale,,Virginie-Occidentale,states,"Inhabited by mammoth-hunters 12,000 BCE, by Archaic People 9,000 BCE and Mound Builders ca. 500 BCE, then Fort Ancient people; Iroquois League dominated by 1650; Europeans settled in 17th-18th cen.; invaded by British during Revolution; pro-Union in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7013961,http://www.wikidata.org/entity/Q1371
16,Italy,Marche,Marche,Marches,Marche,Marken,Marches,regions,"Inhabited early by Umbri and Picentes people; colonized by Greeks, later by Romans (3rd century BCE); invaded by Goths 5th century CE; portions ruled by Byzantines and Lombards; ruled by Pope in 8th century and again from the 13th century.",region in Italy,http://vocab.getty.edu/tgn/7003240,http://www.wikidata.org/entity/Q1279
15,England,Yorkshire,Yorkshire,Yorkshire,,,,general regions,"Area in north-central England between the Pennines and the North Sea. Formerly a large county. The region is composed of four broad belts of land stretching from north to south: in the west the high Pennine moorlands dissected by the Yorkshire Dales; in the southeast the central lowlands (including the Vale of York) draining into the River Humber estuary; in the east the North York Moors and Yorkshire Wolds; and, farther southeast, the Holderness plain along the North Sea. Site of prehistoric remains, including earthworks at Stanwick; it was a Roman military stronghold 1st-5th centuries CE. Controlled by indigenous Britons, then part of the kingdom of Deira from the 6th-9th centuries. It was taken by Danes 875 and recaptured by kings of Wessex 954. The region remained strongly Anglo-Scandinavian in culture until the Normans took control in 1069. Important monasteries and estates were established. After the Black Death of the 14th century, most of Yorkshire's crop land became pasture for sheep and woolen manufacture became an important industry. It was the base for Yorkists during War of the Roses (1455-1485) and two of the most important battles were fought here (Wakefield and Towton, 1460 and 1461). The battle at Marston Moor in 1644 was one of the most crucial of the English Civil Wars. Architecture in Yorkshire includes pre-Norman churches; abbeys such as the ruined Rievaulx; castles such as Bolton; the Gothic York Minster; and notable country houses such as 18th-century Castle Howard.",historic county of England,http://vocab.getty.edu/tgn/7008171,http://www.wikidata.org/entity/Q163
14,,South Carolina,South Carolina,South Carolina,Carolina del Sud,,Caroline du Sud,states,"Inhabited by Cusabo, Creek, Congaree and others when Spanish, French & English arrived 16-17th cen.; Europeans penetrated inland in 18th cen.; strongly supported the American Revolution; was slave state, the first to join Confederacy in 1860 in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007712,http://www.wikidata.org/entity/Q1456
14,Australia,VIC,Victoria,Victoria,,,,states,Charted by Captain Cook in 1770; settled by Tasmanian immigrants 1835; separated from New South Wales 1851; gold was discovered in the Ballarat region in 1851.,state of Australia,http://vocab.getty.edu/tgn/7006238,http://www.wikidata.org/entity/Q36687
14,England,Northampton,Northamptonshire,Northamptonshire,,,,counties,"Comprises wooded hills and river valleys; has pre-Celtic and Roman remains; boundries almost identical to those laid down in 1096; scene of several battles during Civil War (1642-1645); industries include engineering, shoe-manufacturing, and food-processing.",,http://vocab.getty.edu/tgn/7012031,
14,United States,Idaho,Idaho,Idaho,,,Idaho,states,"Inhabited by 8000 BC; Kutenai, Coeur d'Alene, Nez Percé, Paiute, Shoshoni & others were here when influx of settlers from E destroyed buffalo herds in 19th cen.; conflict with Britain over N border 1840s; received Confederate refugees after Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007250,http://www.wikidata.org/entity/Q1221
14,United States,Wyoming,Wyoming,Wyoming,,,Wyoming,states,"Inhabited before 9,000 BCE; home to Crow, Ute, Bannock, Blackfoot, Cheyenne, Comanche, Kiowa and Dakota in modern times, only Shoshoni and Arapaho survived by 1890s; most Europeans arrived 19th cen.; area came to USA with Louisiana Purchase and after Mexican War.",state of the United States of America,http://vocab.getty.edu/tgn/7007923,http://www.wikidata.org/entity/Q1214
12,,District of Columbia,District of Columbia,District of Columbia,,"Washington, D.C.",District de Columbia,national districts,"Federal district coextensive with city of Washington; US was first nation to plan a capital exclusively for seat of government; originally was a 10-mile square in Maryland & Virginia, on both banks of Potomac river; Virginia reclaimed its land in 1846.","federal district of the United States of America, containing the capital city of the United States, Washington",http://vocab.getty.edu/tgn/7015717,http://www.wikidata.org/entity/Q3551781
12,England,Surrey,Surrey,Surrey,,,,counties,"Comprises river valleys, chalk hills, and lowlands; sheep-raising center in Middle Ages, market and wool center in 16th century; from 1801 until WW II, area became dense with railways and suburban growth; after WW II, preservation of countryside was enforced.",county of England,http://vocab.getty.edu/tgn/7008175,http://www.wikidata.org/entity/Q23276
12,Scotland,Fife,Fife,Fife,,,,unitary authorities,"Consists of former county of Fife; area comprises lowlands and fluvioglacial deposits with coalfields to the south; although remote during Middle Ages, contained many royal burghs and important centers during the 16th century; industries include mining and fishing.",,http://vocab.getty.edu/tgn/7008076,
12,United States,Montana,Montana,Montana,,,Montana,states,"Inhabited by Blackfoot, Sioux, Shoshone, Arapaho, Cheyenne, Flathead & others when French arrived 18th cen.; part came to USA in Louisiana Purchase 1803, conflict with Britain over N border settled in 1846; great influx of settlers came after Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007524,http://www.wikidata.org/entity/Q1212
11,Canada,New Brunswick,New Brunswick,Province of New Brunswick,Nuovo Brunswick,,Province de Nouveau-Brunswick,provinces,"Largely forested area bordering Quebec and Maine, noted for pine, maple, birch, spruce, fir and tamarack trees; province also supports fishing and mining.",province of Canada,http://vocab.getty.edu/tgn/7005799,http://www.wikidata.org/entity/Q1965
11,Ireland,County Laois,Laois,County Laois,,,,counties,"The county of Laois in the province of Leinster in the Republic of Ireland includes the valleys of the upper Nore and upper Barrow Rivers, and most of the Slieve Bloom, a range of mountains. It measures some 664 square miles in area. It was annexed to the English crown under the reign of Edward VI, 1547-1553. It is characterized by small towns and villages dependent upon cattle raising, forestry, wool, and pharmaceutical manufacturing. The 2003 estimated population was 59,800.",,http://vocab.getty.edu/tgn/7007169,
11,Spain,Lleida,Lleida,,,,,provinces,"Borders France & Andorra; scenic valleys & forests of Pyrenees lie in N, with irrigated plain located in S; trades wine, wool, timber & cattle; exports pears & lemons; industry is mostly centered in Lérida city.",,http://vocab.getty.edu/tgn/7008912,
10,Australia,SA,South Australia,South Australia,,Südaustralien,Australie-Méridionale,states,"First European sighting 1627 (Thyssen); British province 1836; included with N Territory 1863-1901; vote given to women 1894; agricultural & mining region producing grains, fruit, wine, iron ore, limestone, opal; capital & main city is Adelaide.",state of Australia,http://vocab.getty.edu/tgn/7001831,http://www.wikidata.org/entity/Q35715
10,England,Cambridge,Cambridgeshire,Cambridgeshire,,,,counties,"Comprises low ridges, plains and former islands; crossed by rivers Nene and the Great Ouse; noted for archaeological sites (prehistoric tracks), Saxon churches and the university buildings of Cambridge; produces beets, potatoes, and fruit for canning.",,http://vocab.getty.edu/tgn/7011980,
10,Italy,Liguria,Liguria,Liguria,Liguria,Ligurien,Ligurie,regions,"Fertile coastal strip (Italian Riviera) and inland mountains; home to prehistoric Ligurii people, who inhabited Mediterranean coast from Rhône to Arno rivers; visited by Phoenicians & Greeks; taken by Rome 2nd cen. BCE; ruled by Genoa from 13th cen.",Italian region,http://vocab.getty.edu/tgn/7003236,http://www.wikidata.org/entity/Q1256
9,,Italy,,,,,,,,,,
9,England,Cambridgeshire,Cambridgeshire,Cambridgeshire,,,,counties,"Comprises low ridges, plains and former islands; crossed by rivers Nene and the Great Ouse; noted for archaeological sites (prehistoric tracks), Saxon churches and the university buildings of Cambridge; produces beets, potatoes, and fruit for canning.",,http://vocab.getty.edu/tgn/7011980,
9,England,Devonshire,Devon,Devon,,,,counties,"Comprises rocky plateaus, moors and lush river valleys; remains include prehistoric caves, Iron Age hill forts and Roman stations; first shired in 8th century; Danish raids 851-1003; tin mining was important 12th-17th centuries; iron, lead and copper mined until 19th century.",ceremonial county of England,http://vocab.getty.edu/tgn/7012077,http://www.wikidata.org/entity/Q23156
9,Italy,Bardonecchia,Bardonecchia,,,,,inhabited places,,Italian comune,http://vocab.getty.edu/tgn/1043412,http://www.wikidata.org/entity/Q9039
9,Italy,Como,Como,,,,,provinces,,province of Italy,http://vocab.getty.edu/tgn/7005852,http://www.wikidata.org/entity/Q16161
9,Switzerland,Ticino,Ticino,Ticino,Ticino,Kanton Tessin,Canton du Tessin,cantons,"Located in the Lepontine Alps; was part of Roman Transpadane Gaul; part of Lombardy until 15th century, when Swiss Confederation took area from Milan; ruled by Uri and Schwyz cantons until 1798.",canton of Switzerland,http://vocab.getty.edu/tgn/7004723,http://www.wikidata.org/entity/Q12724
8,,North Carolina,North Carolina,North Carolina,Carolina del Nord,,Caroline du Nord,states,"Inhabited since 14,000 BCE; Catawba, Cherokee and others were here when Europeans arrived 16th-17th cen., last group was forced out in 1830s; had internal strife due to divided loyalties during the American Revolution; joined the Confederacy in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007709,http://www.wikidata.org/entity/Q1454
8,England,Cornwall,Cornwall,Cornwall,,,,counties,"Most remote of country's counties, it remained Celtic and Cornish language was spoken until late 19th century; inhabited since prehistoric times and important for tin, clay, and granite; an earldom under William the Conqueror 1066; it is the oldest duchy in England, created by Edward III in 1337 for his eldest son, Edward the Black Prince.",,http://vocab.getty.edu/tgn/7008116,
8,England,"Jersey, Channel Islands",Jersey,Jersey,Jersey,Jersey,Jersey,dependent states,"Comprises Jersey island and several smaller islands; inhabited in Paleolithic times, and had Neolithic and Bronze Age settlements; ruled by diocese of Coutances in the 11th century, by Norman landowners in the 12th century; became politically separate from Normandy in 1204; official language is French, though English and a Norman-French patois are also spoken.",British Crown dependency in the Channel Islands,http://vocab.getty.edu/tgn/7005238,http://www.wikidata.org/entity/Q785
8,England,Suffolk,Suffolk,Suffolk,,,,counties,"Comprises sandy beaches, craggy cliffs, and deep estuaries; occupied during prehistoric  and Roman times; formed part of kingdom of East-Anglia from 5th-9th century; has been mostly agricultural since the 18th century; known for large Suffolk draft horses; currenty the county is divided into seven districts.",,http://vocab.getty.edu/tgn/7008185,
8,Italy,Abruzzi,Abruzzi,Abruzzo,Abruzzi,Abruzzen,Abruzzes,regions,"Region in central Italy, the most mountainous in the Italian Apennines; populated since Paleolithic times; Roman from 304 BCE; part of Lombard duchy of Spoleto 6th-11th centuries CE; part of kingdom of Naples 1266-1860.",region in Italy,http://vocab.getty.edu/tgn/7009084,http://www.wikidata.org/entity/Q1284
7,Canada,Québec,Québec,Quebec,,,Province du Québec,provinces,"Originally inhabited by Algonkin, Montagnais and Cree Indians; Eskimos later settled in Hudson Bay area; region declared for France by Jacques Cartier who landed at Gaspé 1534; settlement of colony of New France commenced at present Québec City 1608.",,http://vocab.getty.edu/tgn/7005804,
7,England,Durham,Durham,Durham,,,,counties,"Administrative, geographic, and historic county in northeastern England on the North Sea coast. It comprises two upland regions, lowlands of Wear valley, and limestone plateaus. The administrative county comprises seven districts: Chester-le-Street, Derwentside, the city of Durham, Easington, the borough of Sedgefield, Teesdale, and Wear Valley. The geographic county includes the entire administrative county, the unitary authorities of Darlington and Hartlepool, and the part of the unitary authority of Stockton-on-Tees (including the historic core of Stockton) north of the River Tees. The historic county includes the entire geographic county except for the part of the Teesdale district south of the River Tees, which belongs to the historic county of Yorkshire. The metropolitan boroughs of Gateshead, South Tyneside, and Sunderland in the metropolitan county of Tyne and Wear also belong to the historic county of Durham. The region was inhabited by agricultural peoples from Neolithic times through the Iron Age. Durham was incorporated into the Saxon kingdom of Northumbria during the 6th century. The region became important economically when it became a center for coal-mining and other heavy industry in the 19th century. Durham county was the site of the world's first passenger railway, which began running between Stockton and Darlington in 1825. The county suffered economic depression between World Wars I and II.",,http://vocab.getty.edu/tgn/7008127,
7,England,Gloucestershire,Gloucestershire,Gloucestershire,,,,counties,"Bisected by River Severn and comprises scenic woodlands valleys; occupied by prehistoric peoples, Romans and the Saxon Hwicce tribe; site of English-Welsh border disputes during Middle Ages; Cotswold area is famous for its wool.",,http://vocab.getty.edu/tgn/7008132,
7,England,North Yorkshire,North Yorkshire,North Yorkshire,,,,counties,"County created in 1974 from most of the North Riding and parts of the West and East Ridings of Yorkshire; it is currently divided into eight districts. Langbaurgh, Middlesbrough, Stockton-on-Tees, and the city of York became independent unitary authorities in 1996. Comprises two upland plains and deep valleys; inhabited by prehistoric people; Romans ruled area; was possibly the Romano-British kingdom of Elmet before the 7th century; noted for numerous castles; economy based on farming, livestock, and food-processing; administrative center is Northallerton.","ceremonial county in England, UK",http://vocab.getty.edu/tgn/7008166,http://www.wikidata.org/entity/Q23086
7,Italy,Marches,Marche,Marches,Marche,Marken,Marches,regions,"Inhabited early by Umbri and Picentes people; colonized by Greeks, later by Romans (3rd century BCE); invaded by Goths 5th century CE; portions ruled by Byzantines and Lombards; ruled by Pope in 8th century and again from the 13th century.",region in Italy,http://vocab.getty.edu/tgn/7003240,http://www.wikidata.org/entity/Q1279
6,,England,England,,,,,inhabited places,,,http://vocab.getty.edu/tgn/2008191,
6,,Puerto Rico,Puerto Rico,,,,,inhabited places,,,http://vocab.getty.edu/tgn/2106975,
6,,Spain,,,,,,,,,,
6,England,Devon,Devon,Devon,,,,counties,"Comprises rocky plateaus, moors and lush river valleys; remains include prehistoric caves, Iron Age hill forts and Roman stations; first shired in 8th century; Danish raids 851-1003; tin mining was important 12th-17th centuries; iron, lead and copper mined until 19th century.",ceremonial county of England,http://vocab.getty.edu/tgn/7012077,http://www.wikidata.org/entity/Q23156
6,England,Leicestershire,Leicestershire,Leicestershire,,,,counties,"Comprises scenic river valleys, rolling hills, and woods; some of the first canal and rail transport developments of Industrial Revolution took place here; industries include hoisery, Stilton cheese, footwear, and engineering; contains many fines country houses.",,http://vocab.getty.edu/tgn/7008155,
6,England,Lincolnshire,Lincolnshire,Lincolnshire,,,,counties,"Comprises uplands, rolling chalk hills, and a limestone escarpment; uplands used as defense areas during prehistoric and Roman times; prosperous farming area in Middle Ages; industry began with mining in the 19th century; contains many towns established by Danes.",,http://vocab.getty.edu/tgn/7008157,
6,England,Massachusetts,,,,,,,,,,
6,England,Salisbury,Salisbury,,,,,,,"Parliamentary constituency in the United Kingdom, 1885 onwards",,http://www.wikidata.org/entity/Q1031840
6,Germany,Berlin,Berlin,Berlin,Berlino,Land Berlin,berlin,states,,"federated state, capital and largest city of Germany",http://vocab.getty.edu/tgn/7003670,http://www.wikidata.org/entity/Q64
6,Italy,Florence,Firenze,Florence province,,,,provinces,,former province of Tuscany,http://vocab.getty.edu/tgn/7003163,http://www.wikidata.org/entity/Q16172
6,Scotland,Midlothian,Midlothian,,,,,unitary authorities,,,http://vocab.getty.edu/tgn/7019123,
6,Spain,Pontevedra,Pontevedra,,,,,provinces,"Smallest Galician province; borders Portugal to S; coastline indented by scenic estuaries; exports include cattle, timber, fish, shellfish & agricultural goods; naval academy located at Marín.",,http://vocab.getty.edu/tgn/7002834,
6,Spain,Soria,Soria,,,,,provinces,"Soria, originally formed part of Old Castile in 1833. Its agricultural area is irrigated by the Duero River. Soria primarily produces cereals, grapes and sheep. The province has a varied terrain which contains forests of pine, oak, and beech.",,http://vocab.getty.edu/tgn/7002842,
6,United States,Deleware,,,,,,,,,,
5,,Illinois,Illinois,Illinois,,,Illinois,states,Inhabited by 8000 BCE; Mississippian people flourished ca. 1300 CE; had largest pre-Columbian community N of Mexico; various Algonquian tribes were here when French & English settled 17-18th centuries; went to USA in 1778 in Revolution; pro-Union in Civil War.,state of the United States of America,http://vocab.getty.edu/tgn/7007251,http://www.wikidata.org/entity/Q1204
5,Canada,Nova Scotia,Nova Scotia,Nova Scotia,Nuova Scozia,Neuschottland,Nouvelle Écosse,provinces,Settled originally by Micmacs; first visited by Norse Vikings around 1000 BCE; claimed for England by John Cabot late 15th century; settlers from France arrived 1605; Scottish colonists came after 1621; Treaty of Utrecht gave area to England 1713; French Acadians were deported to Louisiana by British.,,http://vocab.getty.edu/tgn/7005802,
5,England,Bedfordshire,Bedfordshire,Bedfordshire,,,,counties,"Comprises valley of River Great Ouse; occupied by Beaker peoples early Bronze Age (ca. 1800 BCE), Romans ca. 1st century, Anglo-Saxons and Danes 5th-6th centuries; boundries almost unchanged since 11th century; contains London's overflow airports and auto plants.",,http://vocab.getty.edu/tgn/7008103,
5,England,Cumberland,Cumbria,Cumbria,,,,counties,"Extends along Irish Sea coast from Morecombe Bay to Solway Firth and includes famous Lake District; area occupied since Neolithic times; north part of area alternated between English and Scottish rule until 1157; economy based on fishing, farming, and livestock.",,http://vocab.getty.edu/tgn/7008117,
5,England,Dorsetshire,Dorset,Dorset,,,,counties,Settled by Neolithic peoples from France 2000 BCE; evidence of Beaker people 1800 BCE and Romans until 5th century; formed core of Saxon kingdom of Wessex ca. 495 and called Wessex in Thomas Hardy novels; site of Tolpuddle martyrs cry for organized labor in the 19th century.,"ceremonial county in South West England, UK",http://vocab.getty.edu/tgn/7011961,http://www.wikidata.org/entity/Q23159
5,England,Lancashire,Lancashire,,,,,counties,"Consists of level plateaus, moorlands and river valleys; occupied in prehistoric and Roman times; suffered from Black Plague, War of Roses, and Scottish Border Wars; was large textile center from the late 18th century, but recent decline precipitated emigration.","ceremonial county in North-West England, United Kingdom",http://vocab.getty.edu/tgn/7008154,http://www.wikidata.org/entity/Q23077
5,England,London,City of London,London,,,,boroughs,"Municipal corporation and borough often referred to as the ""The Square Mile"" or simply ""The City."" Although small in area and only a part of the modern urban area now known as London, its area closely corresponds to the medieval city of London. Geographically the City belongs to the historic county of Middlesex, but its special status and privileges gave it autonomy for most of its history. It lies on the north bank of the River Thames between the Temple Bar memorial pillar and the base of Tower Hill. The City Corporation is Britain's oldest local government; it has the status of a county, with powers that exceed those of London's 32 other boroughs (collectively called Greater London), notably having its own police force. The area has long been associated with the city's (and country's) financial institutions, with the Bank of England, the Royal Exchange (no longer functioning), and the Stock Exchange being located here. While large portions are being renovated, the City of London still contains some of Sir Chistopher Wren's city churches including St. Paul's Cathedral, cathedral of the Anglican bishop. A self-governing enclave.","city, ceremonial county and local government district that contains the historic center and the primary central business district in the London Region in England, UK",http://vocab.getty.edu/tgn/7011798,http://www.wikidata.org/entity/Q23311
5,Italy,Siena,Siena,,,,,provinces,,province of Italy,http://vocab.getty.edu/tgn/7003168,http://www.wikidata.org/entity/Q16275
5,Scotland,Aberdeenshire,Aberdeenshire,Aberdeenshire,,,,unitary authorities,,,http://vocab.getty.edu/tgn/5000432,
5,Scotland,County Perth,,,,,,,,,,
5,United States,Distric of Columbia,,,,,,,,,,
5,United States,Massachsuetts,,,,,,,,,,
4,,Florida,Florida,Florida,,Florida,Floride,states,"On low-lying peninsula inhabited by 8,000 BCE; farming began by 500 BCE, with hunters/fishers living in N and some immigration from Cuba and Bahamas; Seminoles lived here in 19th cen.; Spanish arrived in 16th century, but major European influx came in 19th century.",state of the United States of America,http://vocab.getty.edu/tgn/7007240,http://www.wikidata.org/entity/Q812
4,,Louisiana,Louisiana,Louisiana,,,Louisiane,states,"Occupied by 14,000 BC; Chitimacha, Biloxi, Atakapa and others lived here when Spanish and French settled in 16th-17th cen.; French brought in many slaves; was in Louisiana Purchase; was split between Union & Confederate forces early in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007256,http://www.wikidata.org/entity/Q1588
4,,Ohio,Ohio,Ohio,,,Ohio,states,"Inhabited by 5000 BCE; center for Hopewell culture before 400 CE; home to Miami, Shawnee, Wyandot, Delaware and others when French & British arrived 17-18th cen.; Amerindians supported British in Revolution; 300,000 soldiers fought for Union in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007706,http://www.wikidata.org/entity/Q1397
4,Australia,Victoria,Victoria,Victoria,,,,states,Charted by Captain Cook in 1770; settled by Tasmanian immigrants 1835; separated from New South Wales 1851; gold was discovered in the Ballarat region in 1851.,state of Australia,http://vocab.getty.edu/tgn/7006238,http://www.wikidata.org/entity/Q36687
4,Canada,Ottawa,Ottawa,Ottawa,,,,inhabited places,"Located in SE Ontario at junction of Ottawa, Gatineau & Rideau rivers; site was visited by French explorer Samuel de Champlain in 1613; products include lumber, cement, household appliances and furniture; site of many notable public structures.",capital city of Canada,http://vocab.getty.edu/tgn/7013088,http://www.wikidata.org/entity/Q1930
4,Croatia,Dalmatia,Dalmacija,Dalmatia,Dalmazia,Dalmatien,Dalmatie,general regions,"Area and islands along Adriatic coast; first settled by Illyrians ca. 1000 BCE; Greeks settled islands and coast in 400 BCE; conquered by Rome 34 BCE, Goths 395, Slavs 7th century, Venetians 15th century; a frequent political pawn; given to Austria in 1797.",,http://vocab.getty.edu/tgn/7015451,
4,England,Clwyd,,,,,,,,,,
4,England,Hartfordshire,Hertfordshire,Hertfordshire,,,,counties,"Located in southeastern England, north of Greater London; drained by rivers Lea and Colne. It contains Neolithic, Bronze Age and Roman remains, a Norman castle, and many large country estates; expanded greatly in the 20th century to accomodate population and industrial overflow from London. The county is divided into ten districts.",,http://vocab.getty.edu/tgn/7008145,
4,England,Herefordshire,Herefordshire,Herefordshire,,,,unitary authorities,"A unitary authority and historic county of England. It extends from Welsh border in the west to industrial midlands in the east and has an area of 2180 sq km (842 sq mi). Under local government reorganization in 1974 it became part of Hereford and Worcester but in 1998 it was reinstated as independent.  The historic county includes three small areas outside the current unitary authority. One, just south of Ludlow, is in the South Shropshire district of the administrative county of Shropshire and the other two are in the Malvern Hills district of the administrative county of Worcestershire (one is the area between Leigh Sinton and Acton Green and other is the parish of Stoke Bliss). Conversely, the unitary authority includes three small areas that are part of the historic county of Worcestershire: the parishes of Edvin Loach and Acton Beauchamp and an area including West Malvern and Mathon. Herefordshire is predominantly agricultural and is known for its hop production (surpassed only by Kent), pear and apple orchards, and the famous Hereford breed of cattle. The chief river is the Wye and the administrative center is Hereford. There are several notable prehistoric sites here, including Sutton Walls, Croft Ambrey, Herefordshire Beacon, and Leintwardine. Ruined 12th-century Norman fortresses still stand at Wilton, Goodrich, and Pembridge. The Herefordshire school of Romanesque architecture is exemplified in Kilpeck's Church of St. Mary and St. David and the 13th-century Treago is a notable fortified mansion. Other notable architecture includes the Cistercian Abbey Dore and Hereford Cathedral. The county supported the Yorkist cause during the War of the Roses and was royalist during the Civil Wars of the 17th century.",,http://vocab.getty.edu/tgn/7008143,
4,England,Northumberland,Northumberland,Northumberland,,,,counties,"County in the extreme NE of England with an area of 5031 sq km (1,943 sq miles); it is comprised of coastal plains, rugged hills, and moors. It was ruled by Romans from 122 until Saxons came into power in the 6th century. In Anglo-Saxon times the territory of the kingdom and tribe of the Northymbre (meaning ""those living north of the River Humber"") was much larger than the present county. Northumberland is the site of long time Scottish-English border disputes. Coal, glass, iron and shipbuilding center since the 19th century but these industries have declined and the county's economy now depends on tourism and light industry. Northumberland is divided into six districts; Morpeth is the county town.",,http://vocab.getty.edu/tgn/7008165,
4,England,Wareham,Wareham,,,,,,,"Parliamentary constituency in the United Kingdom, 1832-1885",,http://www.wikidata.org/entity/Q7969269
4,England,Worcestershire,Worcestershire,Worcestershire,,,,counties,"A county in west-central England; it was incorporated with Hereford from 1974 until 1998; it is now a separate county again. The county lies in the English Midlands to the south of Birmingham, lying mostly in the basin of the Severn. Much of the area is fertile ground with wheat being an important crop; cattle breeding and fruit growing are also important. Industries include engineering, chemicals, and food processing.",,http://vocab.getty.edu/tgn/5000227,
4,Italy,Ancona,Ancona,,,,,provinces,,province in Italy,http://vocab.getty.edu/tgn/1003429,http://www.wikidata.org/entity/Q16114
4,Italy,Emilia,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,,Émilie-Romagne,regions,"Rich agricultural area bordering Adriatic Sea; Emilia and Romagna fell to Lombards 5th century CE; Emilia went to Franks 8th century, duchy of Modena by 17th century, then to Parma and Piacenza; Romagna was ruled by Byzantines 6th century, and by Pope from 16th century.",region in Italy,http://vocab.getty.edu/tgn/7008516,http://www.wikidata.org/entity/Q1263
4,Italy,Sardinia,Sardegna,Sardinia,Sardegna,Sardinien,Sardaigne,regions,Region comprises the large island of the same name and several nearby small islands.,autonomous region of Italy,http://vocab.getty.edu/tgn/7003121,http://www.wikidata.org/entity/Q1462
4,Scotland,Argyllshire,Argyllshire,Argyllshire,,,,second level subdivisions,,,http://vocab.getty.edu/tgn/7465929,
4,Scotland,East Lothian,East Lothian,East Lothian,,,,unitary authorities,,,http://vocab.getty.edu/tgn/7019115,
4,Scotland,Perthshire,Perth and Kinross,Perth and Kinross,,,,unitary authorities,,,http://vocab.getty.edu/tgn/7019152,
4,Spain,Aragon,Aragón,Aragon,Aragona,Aragonien,Aragon,autonomous communities,"Aragón, the autonomous community, is situated in northern Spain with France as its northern bordering country. It is drained by the Ebro river basin and crossed by Pyrenees mountains and pre-Pyrenees foothills. The industrial sector is located in greater Zaragoza producing agricultural products including wheat, olives, and grapes. See also the historic region of Aragón.",,http://vocab.getty.edu/tgn/7002759,
4,United States,Disctrict of Columbia,,,,,,,,,,
4,United States,Long Island,,,,,,,,,,
4,United States,Massachuetts,,,,,,,,,,
4,United States,Tennesee,Tennesee,,,,,,,"mine in Doña Ana County, New Mexico, United States of America",,http://www.wikidata.org/entity/Q49453594
3,,France,,,,,,,,,,
3,,Georgia,Georgia,Georgia,,,Géorgie,states,"Inhabited by Creek and Cherokee when English settled here in 18th century as buffer between Spanish Florida & English South Carolina; had divided loyalties in Revolution; slavery was prohibited in 18th century, but was slave state and pro-Confederacy in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007248,http://www.wikidata.org/entity/Q1428
3,,Michigan,Michigan,Michigan,,,Michigan,states,"Inhabited by Ojibwa, Ottawa, Potawatomi and others when French arrived in 18th cen.; taken by England in 1760s, by USA in Revolution and again in War of 1812; most Amerindians were forced west in 19th cen.; pro-Union in Civil War, noted for African regiment.",state of the United States of America,http://vocab.getty.edu/tgn/7007520,http://www.wikidata.org/entity/Q1166
