count,country,region,district,city,tgn_or_wiki_label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri,notes
116,Stati Uniti d'America,Ohio,,Cleveland (OH),Cleveland,Cleveland,,,,inhabited places,"Located on Lake Erie at mouth of Cuyahoga River; city was laid out by surveyors from Connecticut; developed after New York State opened Erie Canal in 1825, when Ohio constructed canal to join the lake and Ohio River; industry grew after Civil War.","city in and county seat of Cuyahoga County, Ohio, United States",http://vocab.getty.edu/tgn/7013608,http://www.wikidata.org/entity/Q37320,
115,Italia,Marche,Ascoli Piceno,Ascoli Piceno,Ascoli Piceno,,,,,inhabited places,"Was ancient capital of the Piceni people; taken by Rome in 3rd cen. BC; notorious for revolt against Rome in 90 BC in Social War, when Roman population was masacred; was noted medieval bishopric; free republic 1183-1266, then went to the Papal States.",,http://vocab.getty.edu/tgn/7004025,,
114,Germania,,,Kassel,Kassel,Kassel,,Chassala,,inhabited places,"The city of Kassel is located on the Fulda River some 90 miles northeast of Frankfurt am Main. Mentioned in 913 as Chassala, the town was probably the seat of Franconian kings. Ruled by Hesse from the 13th century, it became the residence of the Hessian landgraves around 1277. The town expanded in size and population when the New Town was built in the 14th century, then the Upper New Town in the 17th century to accommodate Huguenot refugees. It served as the capital of the Electorate of Hessen from 1567 to 1866. It became in the early 20th century a producer of aircraft and tanks, and as such was heavily bombed in World War II.  It historic architecture includes the Orangery Palace, 1701-11, and the Ottoneum, 1604-07, rebuilt in 1697, and claimed to be the oldest theatre building in Germany, being now a museum. Kassel has a large number of museums, including the intriguing German Wallpaper Museum. The city has several technical schools and an academy of applied art. A famous statue of Hercules, situated at the very top of the series of cascades, has been the city's symbol over the last 250 years. Today it is important as a railway junction and transportation center, and local industries include the manufacture of optical and precision instruments, textiles, and transportation equipment. Its 2004 estimated population was 193,900.","city in Hesse, Germany",http://vocab.getty.edu/tgn/7004431,http://www.wikidata.org/entity/Q2865,
113,Italia,Toscana,Siena,Asciano,Asciano,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7006333,,
111,Germania,,,Francoforte sul Meno,Frankfurt am Main,Frankfurt am Main,,Frankfurt am Main,Francfort-sur-le-Mein,inhabited places,"Frankfurt am Main is the largest city in the state of Hessen in western Germany, lying some 19 miles upstream on the Main River from the city of Mainz. Celts and Germanic people occupied the site in the first century BCE and by the Romans in the first and second centuries CE. The Franks took it over around 500, when if probably gained the name Frankfurt, meaning ""ford of the Franks, but was first mentioned as such by Charlemagne's biographer in the late 8th century. In 1356 it was designated the official site of the election of the German kings. It was a free imperial city from 1372 to 1806, then Napoleon I made it first the seat of government for the Confederation of the Rhine, then the capital of the Grand Duchy of Frankfurt. From 1816 to 1866 it was the seat of the Germann Federal Diet and thus de facto the capital of the German states. Following the Seven Weeks' War in 1866, it fell under Prussian rule where it remained until after World War I. It suffered heavy damage from bombardment in World War II, and most of its medieval Old City was destroyed. Historic structures that survived include the 8th-century Benedictine monastery, the Römer or medieval city hall, the 155-foot Eschenheim Tower, St. Bartholomew's Cathedral dating from 1239, and the Church of St. Paul. Modern Frankfurt am Main is a commercial and industrial center, famous for its many trade fairs, including the international book, car, and computer fairs. It is known for the manufacture of motor vehicles, pharmaceuticals, printing materials, and processed foods, especially sausages. It is a transportation center with a busy railway hub and the largest airport in Germany. The 2004 estimated population was 646,000.","city in Hesse, Germany",http://vocab.getty.edu/tgn/7005293,http://www.wikidata.org/entity/Q1794,
111,Italia,Umbria,Terni,Narni,Narni,,,,,inhabited places,Was an important ancient Umbrian center; was conquered by Rome; was birthplace of emperor Nerva in 32 CE and of Pope John XIII in 10th cen.; was destroyed by Holy Roman emperor Charles V in 1527.,"town in the region Umbria, in Italy",http://vocab.getty.edu/tgn/7005121,http://www.wikidata.org/entity/Q10866,
111,Stati Uniti d'America,Delaware,,Newark (DE),Newark,Newark,,,,inhabited places,,,http://vocab.getty.edu/tgn/7014217,,
108,Messico,,,Città del Messico,Ciudad de México,Mexico City,,,,inhabited places,"Area was captured by Cortéz 1521; seat of viceroyalty of New Spain 1521-1821; taken by Mexican revolutionists 1821; captured by Gen. Scott in Mexican War 1847; held by French 1863-1867; has many churches, monasteries and museums; produces chemicals and steel.",capital and largest city of Mexico,http://vocab.getty.edu/tgn/7007227,http://www.wikidata.org/entity/Q1489,
104,Francia,Alvernia-Rodano-Alpi,,Chambéry,Chambéry-le-Vieux,Chambéry-le-Vieux,,,,inhabited places,"Was capital of medieval Savoy; after Revolution, returned to Savoy by treaties of Paris & Vienna; part of France from 1860; site of 12th-cen. ducal château, rebuilt in 15th cen.; noted as home of the writer Rousseau & his benefactress Madame de Warens.",,http://vocab.getty.edu/tgn/7008766,,
101,Italia,Sicilia,Messina,Messina,Messina,Messina,,,,inhabited places,"Founded by Greeks from Chalcis; destroyed by Carthaginians 397 BCE; was Roman free city 241 BCE; taken by Goths, Byzantines, Arabs (842), Crusader Richard I of England (1190); ruled by Angevins, Aragonese, then by Spanish Bourbons 13th cen.-1713.",Italian comune in Sicily,http://vocab.getty.edu/tgn/7003897,http://www.wikidata.org/entity/Q13666,
101,Stati Uniti d'America,North Carolina,,Raleigh (NC),Raleigh,,,,,inhabited places,"Located in E central North Carolina; city was laid out in a tract of forest soon after American Revolution, when North Carolina decided to move its capital westard from the seaboard; was occupied by Union forces under Sherman in 1865 during Civil War.","city in and state capital of North Carolina, United States of America",http://vocab.getty.edu/tgn/7013949,http://www.wikidata.org/entity/Q41087,
99,Germania,,,Karlsruhe,Karlsruhe,Karlsruhe,,Karlsruhe,,inhabited places,"The city of Karlsruhe is located near the Rhine River on the edge of the Black Forest in the state of Baden-Württemberg in southwestern Germany. It was founded as a residence by the margrave of Baden-Durlach, Karl Wilhelm, in 1715, who built a castle there near his hunting lodge. The city was designed on a radial plan around the tower of the castle with most of its important public building designed in the Neoclassical style. There are many museums, educational institutions, and the Federal Constitutional Court of Germany. An industrial harbor was built on the Rhine in 1901. Severely damaged in World War II; today its factories produce machinery, bicycles, and radio equipment. It has oil refineries with pipelines to Strasbourg, Marseilles, and Ingolstadt, as well as a nuclear reactor and research center. Its 2004 estimated population was 283,000.","city in Baden-Württemberg, Germany",http://vocab.getty.edu/tgn/7004424,http://www.wikidata.org/entity/Q1040,
98,Italia,Toscana,Firenze,Empoli,Empoli,,,,,inhabited places,"Located on lower Arno river; was active in medieval Florentine wars; famed for Ghibelline congress of 1260, where destruction of defeated Florence was successfully opposed (referred to in Dante's Inferno); was heavily damaged in WW II, but rebuilt.",Italian comune,http://vocab.getty.edu/tgn/7006575,http://www.wikidata.org/entity/Q6697,
98,Italia,Veneto,Rovigo,Rovigo,Rovigo,Rovigo,,,,inhabited places,"First mentioned in a document from Ravenna in 838, ruled by the House of Este until it passed to Venice in 1482 & to Austria after 1797; annexed to Italy in 1866.",,http://vocab.getty.edu/tgn/7003271,,
97,Regno Unito,,,Glasgow,Glasgow,Glasgow,,,,inhabited places,Country's largest city & site of early Industrial Revolution in 18th cen.; religious center founded by St. Kentigern in 550; American Revolution disrupted trade until shipbuilding & textile industries began; notorious slums disappeared during 1980s.,"city in Scotland, United Kingdom",http://vocab.getty.edu/tgn/7017283,http://www.wikidata.org/entity/Q4093,
95,Stati Uniti d'America,California,,San Francisco (CA),San Francisco,San Francisco,,,,inhabited places,"Located on peninsula between San Francisco Bay and Pacific ocean; was site of mission and fort, then village of Yerba Buena; under Mexican control after 1821; captured by US in 1846; destroyed by earthquake & fires in 1906; important port during WW II.","consolidated city and county in California, United States",http://vocab.getty.edu/tgn/7014456,http://www.wikidata.org/entity/Q62,
95,Stati Uniti d'America,New Jersey,,Princeton (NJ),Princeton,Princeton,,,,inhabited places,"Located on Millstone River, NE of Trenton; was founded near plantation established in 1681 by Captain Henry Greenland; thrived due to location along Philadelphia-New York stagecoach route & relocation of College of New Jersey here.","municipality in Mercer County, New Jersey, United States",http://vocab.getty.edu/tgn/7016190,http://www.wikidata.org/entity/Q138518,
94,Italia,Marche,Macerata,San Severino Marche,San Severino Marche,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7004020,,
93,Stati Uniti d'America,Texas,,Houston (TX),Houston,,,,,inhabited places,Connected with Gulf of Mexico by huge ship canal; early center was destroyed by Mexican general Santa Ana in Texas Revolution; during American Civil War city was refuge for blockade escapees; completion of canal & discovery of oil stimulated growth.,"city in Texas, United States",http://vocab.getty.edu/tgn/7013727,http://www.wikidata.org/entity/Q16555,
92,Italia,Friuli Venezia Giulia,Trieste,Trieste,Trieste,Trieste,,,,inhabited places,"Most important seaport of N Adriatic; ruled by Venice 1202, by Austria 1382; given to Italy in Treaty of Rapallo 1920; seized by Nazis 1943; made a Free Territory 1947, but zones of city were divided with Yugoslavia; entire city restored to Italy 1954.",city and seaport in northeastern Italy,http://vocab.getty.edu/tgn/7005539,http://www.wikidata.org/entity/Q546,
92,Italia,Toscana,Siena,Montalcino,Montalcino,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7006318,,
91,Germania,,,Stoccarda,Stuttgart,,,Stuttgart,,inhabited places,"Stuttgart is the capital city of the state of Baden-Württemberg in southwestern Germany. It is located on both sides of the Neckar River in a fertile area of vineyards and orchards. The town developed around a medieval fortified manor and horse farm. It became the property of the House of Württemberg in the 13th century. Like many German towns, it declined during the Thirty Years' War in the 17th century, only rising in wealth and importance again with the onset of the Industrial Revolution in the 19th century. The city center was nearly destroyed in World War II. Most of its surviving historic architecture has undergone restoration and rebuilding since 1945. This includes a 13th-century castle now housing the state museum, the Gothic St. Leonard's Church dating from 1463-1474, and the Stiftskirche, a church begun in the 12th century in the Romanesque style and completed in 1436-1495 in the Gothic style. Of its modern structures, the 633-foot television tower has become the city symbol. The city is home to many educational and cultural institutions, with galleries, museums, opera, and ballet. Industrially it is a center for electrical engineering and the manufacture of motor vehicles and machinery. It is also a center for the book trade, and also deals extensively in fruits and wine. The 2004 estimated population was 590,500.","city on the Neckar river and capital of the federal state Baden-Württemberg, Germany",http://vocab.getty.edu/tgn/7004425,http://www.wikidata.org/entity/Q1022,
91,Stati Uniti d'America,New Jersey,,Englewood (NJ),Englewood,,,,,inhabited places,,,http://vocab.getty.edu/tgn/2064664,,
90,Italia,Emilia Romagna,Forlì - Cesena,Cesena,Cesena,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7004922,,
90,Regno Unito,Cambridgeshire,,Cambridge,Cambridge,Cambridge,,,,inhabited places,"Located on the rivers Cam and Granta; site of prehistoric and Roman remains; oldest college is Peterhouse (founded 1284); was confirmed a university city by Pope John XXII in 1384; visited by Erasmus in 1510; site of Holy Sepulchre Church, famed for its circular plan; the Fitzwilliam Museum is here.","city in Cambridgeshire, England",http://vocab.getty.edu/tgn/7010874,http://www.wikidata.org/entity/Q350,
90,Spagna,,,Barcellona,,,,,,,,,,,
89,Italia,Lombardia,Pavia,Pavia,Pavia,,,,,inhabited places,"Key defense point of upper Italy in Roman times; sacked by Attila 452; Charlemagne crowned King of Lombardy 774 and Frederick Barbarossa as King of Italy 1155; ruled by Visconti 1359 and Austrians, French & Spaniards 18th cen. until passed to nation 1859.",Italian comune,http://vocab.getty.edu/tgn/7006026,http://www.wikidata.org/entity/Q6259,
89,Malta,,,La Valletta,La Valletta,,,,,,,capital of Malta,,http://www.wikidata.org/entity/Q23800,
88,Germania,,,Altenburg,Altenburg,,,,,inhabited places,One of oldest German cities E of Saale river; was seat of burgrave from 12th cen.; awarded to Saxon house of Wettin as fief of Holy Roman Empire 1329; burned by Hussites 1430; was important meeting site during Reformation.,,http://vocab.getty.edu/tgn/7012790,,
88,Italia,Toscana,Pisa,Volterra,Volterra,,,,,inhabited places,"Located northwest of Siena, Tuscany. As the ancient Velathri, it was one of the 12 cities of the Etruscan confederation. It supported Rome during the Second Punic War in 205 BCE, acquired Roman citizenship after the civil wars between Gaius Marius and Sulla (81-80 BCE). It became a free commune in the 12th century and fell under the domination of the Medici family of Florence in 1361.",Italian comune,http://vocab.getty.edu/tgn/7006305,http://www.wikidata.org/entity/Q103305,
88,Italia,Veneto,Vicenza,Bassano del Grappa,Bassano del Grappa,,,,,inhabited places,"Commune 19 miles NE of Vicenza; seat of defeat of Austrians by Napoleon in 1796; noted for Museo Civico, Ponte degli Alpini (a covered wooden bridge designed by Palladio).",Italian comune,http://vocab.getty.edu/tgn/7003261,http://www.wikidata.org/entity/Q47094,
87,Italia,Lazio,Roma,Subiaco,Subiaco,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7006989,,
86,Stati Uniti d'America,California,,San Diego (CA),San Diego,,,,,inhabited places,"Located on Pacific Ocean on San Diego Bay, near Mexican border; site of 1st California mission established in 1769 by Father Junípero Serra; pueblo was built by Mexicans in 1834; thrived as port & center for agriculture & transportation.","city in San Diego County, California, United States; second-largest city in California",http://vocab.getty.edu/tgn/7014455,http://www.wikidata.org/entity/Q16552,
85,Italia,Marche,Macerata,Camerino,Camerino,,,,,inhabited places,,town in Italy,http://vocab.getty.edu/tgn/7004016,http://www.wikidata.org/entity/Q73489,
85,Italia,Toscana,Arezzo,Sansepolcro,Sansepolcro,,,,,inhabited places,Oratory was founded on the site in 10th cen.; was an important medieval & Renaissance center; noted as birthplace of painters Piero della Francesca (died 1492) & Matteo di Giovanni & as home of the Alberti family of architects & sculptors.,Italian comune,http://vocab.getty.edu/tgn/7000478,http://www.wikidata.org/entity/Q52098,
85,Italia,Umbria,Perugia,Spello,Spello,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7005050,,
85,Stati Uniti d'America,Pennsylvania,,Pittsburgh (PA),Pittsburgh,Pittsburgh,,,,inhabited places,"Located at strategic point, at the confluence of Allegheny & Monongahela rivers, forming the Ohio river. It is in an area of valuable natural resources; it was contested by French, British, and Native Americans in the 17th cen. The city of Pittsburgh was laid out in1764 by John Campbell in the area around the fort (now the Golden Triangle). Following the American Revolution, the town became an outfitting point for settlers traveling westward down the Ohio River. It developed as a steel manufacturing center in the 19th century; there has been urban renewal since World War II.","city and county seat in Allegheny County, Pennsylvania, United States",http://vocab.getty.edu/tgn/7013927,http://www.wikidata.org/entity/Q1342,
84,Stati Uniti d'America,Connecticut,,Hartford (CT),Hartford,,,,,inhabited places,Located in N central Connecticut; formed Connecticut Colony in 1639 & accepted 1st written constitution in America (Fundamental Orders); given royal charter in 1662; governor Andros made unsuccessful attempt to seize state in 1687.,"city in and capital of Connecticut, United States",http://vocab.getty.edu/tgn/7013695,http://www.wikidata.org/entity/Q33486,
83,Italia,Umbria,Terni,Terni,Terni,,,,,inhabited places,"Located on Nera river; developed as ancient Umbrian town; was important Roman center, possibly birthplace of historian Tacitus and site of murder of Emperor Gallus in 253 CE; sacked in 6th-7th, and 12th centuries; went to Papacy in the 14th century; devastated in WW II.",Italian comune,http://vocab.getty.edu/tgn/7005123,http://www.wikidata.org/entity/Q8621,
82,Stati Uniti d'America,Indiana,,Notre Dame (IN),Notre Dame,,,,,inhabited places,"Suburb of South Bend; site of University of Notre Dame, St. Mary's College & Holy Cross Junior College.",,http://vocab.getty.edu/tgn/7014247,,
79,Regno Unito,,,Edimburgo,Edinburgh,Edinburgh,,,,inhabited places,Located on S shore of Firth of Forth; inhabited by Romans in 2nd century and Lothians in 6th century; divided into 12th-century Old Town and 18th-century New Town; became major textile and industrial center in 18th century; noted for Georgian architecture.,"capital city of Scotland, UK",http://vocab.getty.edu/tgn/7009546,http://www.wikidata.org/entity/Q23436,
78,Italia,Emilia Romagna,Bologna,Imola,Imola,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7004864,,
77,Italia,Marche,Ancona,Ancona,Ancona,Ancona,,,,inhabited places,Located on the Adriatic Sea; was founded by Greeks from Syracuse; thrived as Roman naval base after Illyrian War of 178 BCE; given to popes by Charlemagne in 774 CE; later was maritime republic; again under papal rule from 1532.,,http://vocab.getty.edu/tgn/7003980,,
75,Regno Unito,Merseyside,,Liverpool,Liverpool,Liverpool,,,,inhabited places,"England's sixth largest port, Liverpool rapidly expanded due to trade with the Americas and the West Indies in the 18th century. The first dock opened in 1715 and is now 7 miles long. The city was the destination of many Irish immigrants during the Irish famine (1845-1848). During World War II, it was heavily bombed.","city in Merseyside, England, United Kingdom",http://vocab.getty.edu/tgn/7010597,http://www.wikidata.org/entity/Q24826,
73,Italia,Lazio,Rieti,Rieti,Rieti,,,,,inhabited places,"Located on the Velino river in the Abruzzi Apennines; was an important center for ancient Sabines; conquered by Romans 290 BCE, when the village became a strategic point in the Via Salaria that linked Rome to the Adriatic Sea through the Apennines for transporting salt. Was part of Lombard duchy of Spoleto in early Middle Ages, later went to Papal States; was often a residence of the popes.",,http://vocab.getty.edu/tgn/7006739,,
72,Stati Uniti d'America,Missouri,,Kansas City (MO),Kansas City,,,,,inhabited places,"Located on Missouri River in W Missouri, adjoining Kansas City, Kansas; developed as river port; terminus for Santa Fe and Oregon trails; was divided during Civil War and was site of destructive raids by Confederates; railroad stimulated economic growth.","city in Missouri, United States",http://vocab.getty.edu/tgn/7013820,http://www.wikidata.org/entity/Q41819,
71,Italia,Lazio,Frosinone,Anagni,Anagni,,,,,inhabited places,"First settlers, the Ernici, were defeated by Romans in 305 BC; was Roman civitas & later a municipium; was important bishopric; site where Pope Boniface was taken hostage by Philip IV of France in 1303 during struggles between papacy & heads of state.",Italian comune,http://vocab.getty.edu/tgn/7006676,http://www.wikidata.org/entity/Q116404,
70,Francia,Alvernia-Rodano-Alpi,,Lione,Lyon,Lyons,,,,inhabited places,Residence of Roman emperors; sacked by Huns and Visigoths; taken by Saracens in the 8th century; incorporated into the Holy Roman Empire in 1032; united to the French crown in 1312; prospered in the 16th century but declined during the wars of religion; scene of revolts in the 19th century.,city of France,http://vocab.getty.edu/tgn/7008772,http://www.wikidata.org/entity/Q456,
67,Italia,Toscana,Pisa,San Miniato,San Miniato,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7006300,,
67,Russia,,,Mosca,Moskva,Moscow,,,,inhabited places,"First noted as village 1147; grew around 13th-cen. Kremlin; sacked and rebuilt several times; expanded culturally and economically under Peter the Great in 17th cen., Catherine the Great in 18th cen. and Soviet government in 20th cen.; bombed during WW II.",capital and most populous city of Russia,http://vocab.getty.edu/tgn/7012974,http://www.wikidata.org/entity/Q649,
66,Argentina,,,Buenos Aires,Ciudad Autónoma de Buenos Aires,Buenos Aires,,,,autonomous cities,,capital and largest city of Argentina,http://vocab.getty.edu/tgn/7593303,http://www.wikidata.org/entity/Q1486,
63,Italia,Emilia Romagna,Piacenza,Piacenza,Piacenza,,,,,inhabited places,"Founded by the Romans in 218 BCE, it was destroyed by the Gauls 200 BC & later rebuilt; became part of the Lombard League in the 12th cen.; under the control of the Visconti & Sforza families from 1337 to 1512.",Italian comune,http://vocab.getty.edu/tgn/7004939,http://www.wikidata.org/entity/Q13329,
63,Italia,Umbria,Perugia,Bevagna,Bevagna,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7008876,,
63,Italia,Umbria,Perugia,Norcia,Norcia,,,,,inhabited places,"Traces of human settlement in the area date back to the Neolithic Age. Was founded by ancient Sabines; colonized by Rome in 20 BCE; was birthplace of St. Benedict (born ca. 480 CE), founder of the Benedictine monastic movement; has survived several major earthquakes 18th-20th cen.",Italian commune,http://vocab.getty.edu/tgn/7005057,http://www.wikidata.org/entity/Q20494,
61,Francia,,,Digione,Digione,,,,,,,"commune in Côte-d'Or, France",,http://www.wikidata.org/entity/Q7003,
60,Italia,Marche,Ancona,Loreto,Loreto,,,,,inhabited places,"Located 15 miles S of Ancona; famous for the Casa Santa, said to be the house in which Jesus lived, brought by angels from Nazareth.",,http://vocab.getty.edu/tgn/7003983,,
60,Italia,Sicilia,Palermo,Monreale,Monreale,,,,,inhabited places,,Italian comune,http://vocab.getty.edu/tgn/7003936,http://www.wikidata.org/entity/Q207448,
60,Italia,Umbria,Perugia,Trevi,Trevi,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7005051,,
60,Regno Unito/ Stati Uniti d'America,,,Londra/ New York (NY),,,,,,,,,,,
59,Italia,Toscana,Firenze,Tavarnelle Val di Pesa,Tavarnelle Val di Pesa,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7006145,,
58,Italia,Marche,Fermo,Fermo,Fermo,,,,,inhabited places,"Located on hill above Tenna river near Adriatic Sea; first inhabited by Picene people; taken by Romans in 264 BCE; conquered by Goths, Byzantines (553 CE), Lombards & Franks; ruled by papacy 8th-9th cen. & from 1549.",,http://vocab.getty.edu/tgn/7004029,,
58,Italia,Umbria,Perugia,Todi,Todi,,,,,inhabited places,"Located on hill above the Tevere valley. According to legend, founded by Hercules and called ""Eclis""; in fact, was founded by the ancient Italic Umbri in the 8th-7th century BCE; was on the frontier between ancient Umbrians & Etruscans. Taken by Rome 340 BCE; was a member of a league of Umbrian Guelph towns in the Middle Ages.",,http://vocab.getty.edu/tgn/7005062,,
58,Puerto Rico,,,Ponce,,,,,,,,,,,
57,Italia,Abruzzi,Teramo,Atri,Atri,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7004213,,
57,Italia,Trentino-Alto Adige,Trento,Trento,Trento,,,,,inhabited places,On Adige River; was Roman military base; seat of Lombard duchy 6th cen.; passed to Austria 16th cen.; site of Council of Trent (1545-1563) where doctrines of Catholic Reformation were established; passed to Italy 1918 & badly flooded 1966.,Italian city in the North-East of the country,http://vocab.getty.edu/tgn/7005128,http://www.wikidata.org/entity/Q3376,
56,Croazia,,,Zagabria,Zagreb,Zagreb,,,,inhabited places,"Located on Sava River; is largest city in nation; old town consists of two medieval settlements which were rivals until 19th cen.; Mongols invaded in 1241-1242; was chief city of Croatia & Slovonia in 13th cen., later became a province of Hungary.",capital city of Croatia,http://vocab.getty.edu/tgn/7015558,http://www.wikidata.org/entity/Q1435,
56,Italia,Marche,Macerata,Macerata,Macerata,,,,,inhabited places,Located on hill between Chienti & Potenza rivers; ancient town was destroyed ca. 408 CE by Visigothic king Alaric; was a thriving commune in 12th cen.; went to Papal States ca. 1445. Located near the site of ancient Ricina.,Italian comune,http://vocab.getty.edu/tgn/7004018,http://www.wikidata.org/entity/Q13135,
56,Italia,Sardegna,Cagliari,Cagliari,Cagliari,,,,,inhabited places,"Located on S coast; was important Phoenician center, later principal Carthaginian stronghold in Sardegna; taken by Rome in Second Punic War (ca. 218 BCE), became crucial Roman harbor; independent in Middle Ages, taken by Pisans, Aragonese & Savoy (1718).","Italian municipality, capital of Sardinia",http://vocab.getty.edu/tgn/7015596,http://www.wikidata.org/entity/Q1897,
56,Italia,Toscana,Firenze,Scandicci,Scandicci,,,,,inhabited places,,Italian comune,http://vocab.getty.edu/tgn/7006143,http://www.wikidata.org/entity/Q82842,
55,Italia,Marche,Macerata,Recanati,Recanati,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7004019,,
55,Italia,Marche,Macerata,Tolentino,Tolentino,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7004021,,
53,Francia,Grand Est,,Strasburgo,Strasbourg,Strasbourg,,Strassburg,Strasbourg,inhabited places,"Strasbourg is the capital of the department of Bas-Rhin in the Alsace region of northeastern France. Strategically located on the Ill River, it was originally a Celtic settlement, then a Roman garrison town. In the 5th century it was sacked by Attila the Hun, then rebuilt by the Franks. The Oath of Strasbourg 842 between the eastern and western Frankish kings was taken there. It became a free city under the Holy Roman Empire. In 1681 it was seized by Louis XIV of France but retained many of its free city privileges until after the French Revolution. Germany and France alternated possession until finally in 1945 it reverted to France. It sustained significant damage in the Franco-German war of 1870-1871 and in World War II. The old city features a cathedral built between the 11th and 15th centuries, and the Châteay de Rohan, an episcopal palace now housing three museums. The modern industrial city of the 21st century is the seat of the assembly of the European Union.","capital and largest city of Grand Est, located in the historical region of Alsace",http://vocab.getty.edu/tgn/7012346,http://www.wikidata.org/entity/Q6602,
53,Italia,Umbria,Perugia,Cascia,Cascia,,,,,inhabited places,,,http://vocab.getty.edu/tgn/4002300,,
53,Repubblica di Cipro/ Regno Unito,,,Limassol/ Londra,,,,,,,,,,,
53,Stati Uniti d'America,Virginia,,Richmond (VA),Richmond,,,,,independent cities,,"capital city of Virginia, United States of America",http://vocab.getty.edu/tgn/7022211,http://www.wikidata.org/entity/Q43421,
51,Italia,,,Roma/ Firenze,,,,,,,,,,,
51,Italia,Lazio,Roma,Tivoli,Tivoli,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7006968,,
51,Stati Uniti d'America,Hawaii,,Honolulu (HI),Honolulu,,,,,inhabited places,"Tourist destination and important transport point for north Pacifc ports, including San Francisco, Panama and Sydney; missed by Captain Cook, harbor was entered by Captain William Brown in 1794; occupied by Russians, British and French in the 19th century; has many institutes for Hawaiian culture.","city in and county seat of Honolulu County, Hawaii, United States, that is also the capital city of Hawaii",http://vocab.getty.edu/tgn/7013718,http://www.wikidata.org/entity/Q18094,
50,Stati Uniti d'America,California,,Pasadena (CA),Pasadena,Pasadena,,,,inhabited places,"Once part of Rancho San Pasqual; name is derived from Chippewa for ""crown of the valley""; expanded greatly with freeway connection to Los Angeles 1940s; famous as home of Tournament of Roses Parade & football game at Rose Bowl arena every New Year's Day.","city in Los Angeles County, California, United States",http://vocab.getty.edu/tgn/7014389,http://www.wikidata.org/entity/Q485176,
48,Italia,Campania,Caserta,Caserta,Caserta,,,,,inhabited places,"Was a village of Caetani family of Sermoneta; Bourbon royal palace was built here in 18th century, and town developed; palace served as headquarters of Allied command and site of surrender of German Army in Italy in WW II.",,http://vocab.getty.edu/tgn/7004394,,
48,Italia,Friuli Venezia Giulia,Udine,Udine,Udine,,,,,inhabited places,Possibly site of Roman station of Utina; taken by Venice 1420 & by Austria in Treaty of Campo Formio 1797; ceded to Italy 1866; Italian army headquarters 1915-1917; 16th-cen. archiepiscopal palace contains frecoes by Tiepolo; survived earthquake in 1976.,Italian comune,http://vocab.getty.edu/tgn/7005139,http://www.wikidata.org/entity/Q2790,
48,Italia,Lazio,Viterbo,Caprarola,Caprarola,,,,,inhabited places,,,http://vocab.getty.edu/tgn/7008285,,
48,Italia,Veneto,Belluno,Belluno,Belluno,,,,,inhabited places,City of pre-Roman origin; was a medieval free commune before joining Venice in 1404; taken by the French 1797; passed to Austria 1813 & to the Italian kingdom in 1866.,,http://vocab.getty.edu/tgn/7003325,,
48,Regno Unito,Lancashire,,York,York,,,,,,,"hamlet in the Ribble Valley district of Lancashire, England",,http://www.wikidata.org/entity/Q9097158,
47,Italia,Toscana,Firenze,Bagno a Ripoli,Bagno a Ripoli,,,,,inhabited places,,Italian comune,http://vocab.getty.edu/tgn/7006138,http://www.wikidata.org/entity/Q82612,
47,Italia,Toscana,Livorno,Livorno,Livorno,Livorno,,,,inhabited places,"Located on Ligurian Sea, surrounded by low hills; was given by countess Matilda of Tuscany to Pisan church in 1103; flourished as commercial center; went to Visconti family in 1399, to Genoa & then to Florence in 15th cen.; was damaged in WW II.","city in Italy, Central Italy",http://vocab.getty.edu/tgn/7006074,http://www.wikidata.org/entity/Q6761,
47,Polonia,,,Cracovia,Kraków,Cracow,,,,inhabited places,"A cultural and artistic center since 14th century, Kraków was destroyed by Swedish wars in the 17th century, and later occupied by Austria from 1795-1918. It suffered Nazi attacks during World War II, and was also the location of a Nazi concentration camp, known as the Plaszow camp, in operation as a forced-labor camp from 1942-1944, and then a full concentration camp from 1944-1945. The camp held up to 20,000 people, and many thousands were killed by the SS during the camp's existence. Industry in Kraków revived after the war. The city is known for its rich architectural history, museums, and theaters.",capital city of Lesser Poland Voivodeship in southern Poland,http://vocab.getty.edu/tgn/7007652,http://www.wikidata.org/entity/Q31487,
