count,country,region,tgn_or_wiki_label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri,notes
29,Stati Uniti d'America,Nebraska,Nebraska,Nebraska,,,Nebraska,states,"Inhabited by prehistoric cultures from 8000 BCE; later, was home to several tribes including Sioux and Pawnee, whose lifestyle altered with arrival of Spanish horses in 16th cen.; major European influx came after Louisiana Purchase; pro-Union in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007525,http://www.wikidata.org/entity/Q1553,
28,Germania,Baviera,Bayern,Bavaria,Baviera,Bayern,Bavière,states,"Bavaria is the largest state in the nation of Germany, comprising the entire southeast portion of the country. The land consists mainly of mountains and high plateaus, measuring some 27,241 square miles in area. The area was inhabited by Celts in centuries before the Common Era. It was conquered by Rome in 38 BCE, ravaged by Lombards in the 5th century, then settled by Marcomanni and Baiuoarii ca. 520. It formed the core of the Frankish dukedom from the 6th century, and became Christian by the 9th century. In 788, Charlemagne overthrew the last Frankish duke and brought Bavaria into the Carolingian Empire. It joined the Holy Roman Empire in the 10th century. In 1180 the emperor gave Bavaria to the count palatine Otto of Wittelsbach, the founder of the powerful dynasty that ruled Bavarian until 1918. Bavaria greatly expanded its territory over time, though it suffered greatly during the War of Spanish Succession. In the 18th century it first opposed then allied itself with Napoleonic France, and in 1805 was elevated from a duchy to a kingdom. The kingdom switched allegiance between Austria and Prussia several times in the turbulent 19th century, finally joining the German Empire under Prussian leadership. It retained a great deal of autonomy however, in 1918 the royal dynasty was deposed and after much civil strife, in August 1919 Bavaria joined the Weimar Republic. After World War II, Bavaria was in the American-occupied zone, and became a state in the new Federal Republic of Germany. The modern state's economy is largely industry- and trade-based, with forestry and agriculture constituting only about 10%. The state has a rich cultural life, with music and theater taking high prominent, and traditional folk art still strong. The capital is Munich. The 2004 estimated population was 10,902,600.",federated state in the south of Germany,http://vocab.getty.edu/tgn/7003669,http://www.wikidata.org/entity/Q980,
28,Stati Uniti d'America,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,states,"Inhabited by Chinook, Tillamook, Yamel, Northern Paiute, Modoc & many others when Spanish & English arrived in 16th cen.; settled by fur merchants in 18th cen.; great influx of settlers from E arrived in mid-19th cen.",state of the United States of America,http://vocab.getty.edu/tgn/7007708,http://www.wikidata.org/entity/Q824,
27,Regno Unito,Herefordshire,Herefordshire,Herefordshire,,,,unitary authorities,"A unitary authority and historic county of England. It extends from Welsh border in the west to industrial midlands in the east and has an area of 2180 sq km (842 sq mi). Under local government reorganization in 1974 it became part of Hereford and Worcester but in 1998 it was reinstated as independent.  The historic county includes three small areas outside the current unitary authority. One, just south of Ludlow, is in the South Shropshire district of the administrative county of Shropshire and the other two are in the Malvern Hills district of the administrative county of Worcestershire (one is the area between Leigh Sinton and Acton Green and other is the parish of Stoke Bliss). Conversely, the unitary authority includes three small areas that are part of the historic county of Worcestershire: the parishes of Edvin Loach and Acton Beauchamp and an area including West Malvern and Mathon. Herefordshire is predominantly agricultural and is known for its hop production (surpassed only by Kent), pear and apple orchards, and the famous Hereford breed of cattle. The chief river is the Wye and the administrative center is Hereford. There are several notable prehistoric sites here, including Sutton Walls, Croft Ambrey, Herefordshire Beacon, and Leintwardine. Ruined 12th-century Norman fortresses still stand at Wilton, Goodrich, and Pembridge. The Herefordshire school of Romanesque architecture is exemplified in Kilpeck's Church of St. Mary and St. David and the 13th-century Treago is a notable fortified mansion. Other notable architecture includes the Cistercian Abbey Dore and Hereford Cathedral. The county supported the Yorkist cause during the War of the Roses and was royalist during the Civil Wars of the 17th century.",,http://vocab.getty.edu/tgn/7008143,,
22,Italia,Molise,Molise,Molise,Molise,,Molise,regions,Located on Adriatic Sea; conquered by Romans in 4th cen. BCE; ruled by Lombard duchy 6th-11th cen.; part of Kingdom of Naples 1266-1860.,region in Italy,http://vocab.getty.edu/tgn/7003241,http://www.wikidata.org/entity/Q1443,
22,Regno Unito,Hampshire,Hampshire,Hampshire,,,,counties,"Part of Anglo-Saxon kingdom of Wessex in the 4th century; includes small Bronze Age farms, Iron Age hill forts, and Roman roads; county first mentioned in Anglo-Saxon Chronicle of 755; remained in episcopal see of Winchester 676-1927; besieged by Danes in the 9th and 11th centuries.",,http://vocab.getty.edu/tgn/7008139,,
22,Regno Unito,Warwickshire,Warwickshire,Warwickshire,,,,counties,"County in central England, in the Midlands; drained by River Avon and headwaters of River Cherwell; comprises coal measures, woodlands, and meadows; evidence of prehistoric and Roman occupation; Roman road, Watling Street still forms part of county border; mostly agricultural, especially dairying and fruit-growing; county lost its more industrial northwestern area, including Birmingham, Coventry, and Solihull, to the West Midlands under local government reorganization in 1974.",,http://vocab.getty.edu/tgn/7008178,,
22,Regno Unito,Yorkshire,Yorkshire,Yorkshire,,,,general regions,"Area in north-central England between the Pennines and the North Sea. Formerly a large county. The region is composed of four broad belts of land stretching from north to south: in the west the high Pennine moorlands dissected by the Yorkshire Dales; in the southeast the central lowlands (including the Vale of York) draining into the River Humber estuary; in the east the North York Moors and Yorkshire Wolds; and, farther southeast, the Holderness plain along the North Sea. Site of prehistoric remains, including earthworks at Stanwick; it was a Roman military stronghold 1st-5th centuries CE. Controlled by indigenous Britons, then part of the kingdom of Deira from the 6th-9th centuries. It was taken by Danes 875 and recaptured by kings of Wessex 954. The region remained strongly Anglo-Scandinavian in culture until the Normans took control in 1069. Important monasteries and estates were established. After the Black Death of the 14th century, most of Yorkshire's crop land became pasture for sheep and woolen manufacture became an important industry. It was the base for Yorkists during War of the Roses (1455-1485) and two of the most important battles were fought here (Wakefield and Towton, 1460 and 1461). The battle at Marston Moor in 1644 was one of the most crucial of the English Civil Wars. Architecture in Yorkshire includes pre-Norman churches; abbeys such as the ruined Rievaulx; castles such as Bolton; the Gothic York Minster; and notable country houses such as 18th-century Castle Howard.",historic county of England,http://vocab.getty.edu/tgn/7008171,http://www.wikidata.org/entity/Q163,
20,Francia,Corsica,Corse,Corsica,Corsica,Korsika,Corse,regions,"Region is largely coextensive with the island of the same name. Area is designated as a territorial collectivity (collectivité territoriale) by law, allowing it greater powers than other French administrative regions. However, Corse is referred to as a region in common speech and is almost always listed among them. ",,http://vocab.getty.edu/tgn/7594273,,
19,Regno Unito,Buckinghamshire,Buckinghamshire,Buckinghamshire,,,,counties,"Inhabited by Neolithic peoples, Romans and Saxons; part of kingdom of Mercia; many great estates were built here after clearance of woodlands in 17th century; furniture and printing began after WW II.",,http://vocab.getty.edu/tgn/7008104,,
19,Regno Unito,Surrey,Surrey,Surrey,,,,counties,"Comprises river valleys, chalk hills, and lowlands; sheep-raising center in Middle Ages, market and wool center in 16th century; from 1801 until WW II, area became dense with railways and suburban growth; after WW II, preservation of countryside was enforced.",county of England,http://vocab.getty.edu/tgn/7008175,http://www.wikidata.org/entity/Q23276,
18,Stati Uniti d'America,Kentucky,Kentucky,Kentucky,,,Kentucky,states,"Inhabited by early Mound Builders; was hunting ground for Shawnee, Cherokee and others when Europeans settled here in 18th cen.; infamous for bloody battles with Amerindians when pioneers moved through on way west; was divided by slavery during Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007255,http://www.wikidata.org/entity/Q1603,
18,Svizzera,Cantone Ticino,Ticino,Ticino,Ticino,Kanton Tessin,Canton du Tessin,cantons,"Located in the Lepontine Alps; was part of Roman Transpadane Gaul; part of Lombardy until 15th century, when Swiss Confederation took area from Milan; ruled by Uri and Schwyz cantons until 1798.",canton of Switzerland,http://vocab.getty.edu/tgn/7004723,http://www.wikidata.org/entity/Q12724,
16,Regno Unito,Somerset,Somerset,Somerset,,,,counties,"Consists of a low-lying basin, bounded on the northeast by Mendip Hills and on the west by Quantock Hills; occupied by prehistoric peoples; Romans mined lead in area; formed part of Kingdom of Wessex in 7th century; distinctive ""Zummerzetaheer"" dialect is spoken in some areas.",,http://vocab.getty.edu/tgn/7012032,,
16,Stati Uniti d'America,Maine,Maine,Maine,Maine,,Maine,states,Red Paint people settled here as early as 9th mill. BCE; later Algonquians arrived; Norsemen possibly visited in 11th cen.; colonies established by French in 1604 and English in 1607; fought in Revolution & with Union; Canadian border disputed in 19th cen.,state of the United States of America,http://vocab.getty.edu/tgn/7007515,http://www.wikidata.org/entity/Q724,
15,Italia,Valle d'Aosta,Valle d'Aosta,Aosta Valley,Valle d'Aosta,Aostatal,Région Autonome Vallée d’Aoste,regions,Borders France and Switzerland; originally inhabited by Salassi people; was part of Roman Empire under Augustus; part of Savoy in 11th cen.; was historically important because 3 crucial routes through the Alps converge in this area.,Italian mountainous semi-autonomous region in the North-West,http://vocab.getty.edu/tgn/7003126,http://www.wikidata.org/entity/Q1222,
15,Regno Unito,Greater Manchester,"Manchester, City and Borough of","Manchester, City and Borough of",,,,counties,"Metropolitan county in northwestern England covering an area of 1287 sq km. It was created in 1974 from southeastern Lancashire and parts of northeastern Cheshire and southwestern Yorkshire. In 1986 administrative powers were devolved to the unitary authorities of Wigan, Bolton, Bury, Rochdale, Salford, Oldham, Manchester, Trafford, Stockport, and Tameside.",metropolitan county in North West England,http://vocab.getty.edu/tgn/7026570,http://www.wikidata.org/entity/Q23099,
15,Regno Unito,Staffordshire,Staffordshire,Staffordshire,,,,counties,"County of central England; lies across upper section of River Trent; comprises moorlands, S tip of Pennine Mountains and coal measures; historic remains include Neolithic burial mounds, Iron Age hill forts and traces of Roman roads; exports include pottery, glass, and shoes.",,http://vocab.getty.edu/tgn/7008174,,
13,Regno Unito,Cheshire,Cheshire,,,,,counties,"Ceremonial county in northwestern England. Geologically comprises fragmented areas of clay, sand and gravel, dotted with rivers and small lakes. Site of ancient hill forts on mid-Cheshire ridge during Bronze and Iron Ages; famous for cheese and well-preserved half-timbered houses.","ceremonial county in England, United Kingdom",http://vocab.getty.edu/tgn/7008114,http://www.wikidata.org/entity/Q23064,
13,Regno Unito,Perth and Kinross,Perth and Kinross,Perth and Kinross,,,,unitary authorities,,,http://vocab.getty.edu/tgn/7019152,,
13,Regno Unito,Shropshire,Shropshire,Shropshire,,,,counties,"Comprises river valleys, low ridges and plains; remains include several Late Neolithic and Early Bronze Age objects and a 1st-century Roman fortress; was long object of English-Welsh border disputes; large iron-producing area since Industrial Revolution; the world's first cast-iron bridge was built at Ironbridge in 1779; the area is now mainly agricultural. The rapidly developing area around Telford new town became an independent unitary authority (Telford and Wrekin) in 1998. ",,http://vocab.getty.edu/tgn/7012034,,
12,Francia,Bretagna,Bretagne,Brittany,Bretagna,Bretagne,Bretagne,historical regions,"Bretagne is a historic region originally occupied by Bretons, Celtic people who were refugees from Anglo-Saxon invasions of the island of Britain in the 5th and 6th centuries. It had coastline along the English Channel to the north and the Bay of Biscay to the southwest. It was established as a duchy in the 10th century that went unrecognized by France until 1213. It became a possession of the French crown in the 1490s and was incorporated into France into 1532. ",,http://vocab.getty.edu/tgn/7024267,,
12,Regno Unito,South Lanarkshire,South Lanarkshire,South Lanarkshire,,,,unitary authorities,,,http://vocab.getty.edu/tgn/7019090,,
10,Regno Unito,Devon,Devon,Devon,,,,counties,"Comprises rocky plateaus, moors and lush river valleys; remains include prehistoric caves, Iron Age hill forts and Roman stations; first shired in 8th century; Danish raids 851-1003; tin mining was important 12th-17th centuries; iron, lead and copper mined until 19th century.",ceremonial county of England,http://vocab.getty.edu/tgn/7012077,http://www.wikidata.org/entity/Q23156,
10,Regno Unito,Leicestershire,Leicestershire,Leicestershire,,,,counties,"Comprises scenic river valleys, rolling hills, and woods; some of the first canal and rail transport developments of Industrial Revolution took place here; industries include hoisery, Stilton cheese, footwear, and engineering; contains many fines country houses.",,http://vocab.getty.edu/tgn/7008155,,
10,Regno Unito,Northumberland,Northumberland,Northumberland,,,,counties,"County in the extreme NE of England with an area of 5031 sq km (1,943 sq miles); it is comprised of coastal plains, rugged hills, and moors. It was ruled by Romans from 122 until Saxons came into power in the 6th century. In Anglo-Saxon times the territory of the kingdom and tribe of the Northymbre (meaning ""those living north of the River Humber"") was much larger than the present county. Northumberland is the site of long time Scottish-English border disputes. Coal, glass, iron and shipbuilding center since the 19th century but these industries have declined and the county's economy now depends on tourism and light industry. Northumberland is divided into six districts; Morpeth is the county town.",,http://vocab.getty.edu/tgn/7008165,,
10,Stati Uniti d'America,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,states,Region was explored by French and English in early 17th cen.; was included in land grant to John Mason in 1629; had long boundary feud with Massachusetts and New York; fought in Revolution and was strongly pro-Union.,state of the United States of America,http://vocab.getty.edu/tgn/7007564,http://www.wikidata.org/entity/Q759,
10,Stati Uniti d'America,Utah,Utah,Utah,,,Utah,states,"Inhabited by 10,000 BCE; Anasazi culture arrived from SW ca. 400 CE; Shoshoni (including Southern Paiute, Gosiute & Ute) lived here when Spanish arrived 16th-18th cen.; European-Americans arrived in 19th cen.; went USA in 1848 after the Mexican War.",state of the United States of America,http://vocab.getty.edu/tgn/7007827,http://www.wikidata.org/entity/Q829,
9,Germania,Baden-Württemberg,Baden-Württemberg,Baden-Württemberg,,Baden-Württemberg,Bade-Wurtemberg,states,"Baden-Württemberg is a state in southwestern Germany, bordered by Switzerland in the south, France to the west, the state of Bavaria on the east, Rhineland-Palatinate on the northeast, and Hesse to the north. It measures some 13,804 square miles in area. Most of its people are Alemanni, relatives of the French Alsatians, plus Franconians, Palatinate people, and Swabians. Before the Romans occupied it, the main European trading artery was the River Rhein which runs through Baden-Württemberg. It also had immense hardwood forests, now largely cut. To the south are the Alps. The state was formed in the post-World War II occupational period from three former states in the American and French zones; this arrangement was ratified by a referendum in 1951 and made official in 1952. Its capital is Stuttgart. The 2004 estimated population was 10,721,600.",state in the southwest of the Federal Republic of Germany,http://vocab.getty.edu/tgn/7003692,http://www.wikidata.org/entity/Q985,
8,Australia,Nuovo Galles del Sud,New South Wales,New South Wales,,,Nouvelle-Galles du Sud,states,Sighted by British Cook 1770; first European settlement on continent at Botany Bay 1788 (penal colony); name referred to entire continent except W Australia until mid-19th cen.; consolidated into Commonwealth of Australia 1901; principal city is Sydney.,state of Australia,http://vocab.getty.edu/tgn/7001828,http://www.wikidata.org/entity/Q3224,
8,Germania,Rhineland Palatinate,Rheinland-Pfalz,Rhineland Palatinate,,Rheinland-Pfalz,,states,"The state of Rhineland-Palatinate, lying in southwestern Germany, is the ninth largest in the nation, measuring some 7664 square miles. It is bordered by Belgium, Luxembourg, and France to the south and west, and by the German states of North Rhine-Westphalia to the north, Saarland to the southwest, and Hesse and Baden-Württemberg to the east. Its territory has historically been fought over and partitioned among foreign powers. The modern state was created after World War II. Formerly a primarily agricultural state, it now relies mainly on industry and commerce. Its capital city is Mainz. The official census gave the 2005 population as 4,076,208.",federal state of Germany,http://vocab.getty.edu/tgn/7003682,http://www.wikidata.org/entity/Q1200,
8,Regno Unito,Norfolk,Norfolk,Norfolk,,,,counties,"Low-lying area crossed by rivers Yare, Wensum, and Bure; noted for Paleolithic, Mesolithic, and Neolithic remains; occupied by British Inceni people in the 3rd century; was wealthy and densely populated in the 11th century; economy based on food-processing, fishing, and shoes.","county in East Anglia, England, UK",http://vocab.getty.edu/tgn/7008160,http://www.wikidata.org/entity/Q23109,
8,Spagna,Catalogna,Cataluña,Catalonia,La Catalogna,Katalonien,Catalogne,autonomous communities,"Situated in a triangular section of northeastern Spain, Cataluña is historically and in modern times an autonomous region of Span. One of the first Roman possessions in Spain, it was occupied by Goths in the 5th century, captured by the Moors in 712, and taken over by Charlemagne in the late 8th century. It united with Aragón under the same king in 1137. It was independent from Spain from 1640 to 1653. Its autonomy was prohibited by royal decree in 1716. A separatist movement revived in the 19th century. Today it is the most highly industrialized autonomous community of Spain. Most Catalan towns are along the Mediterranean shoreline and coastal plains. Inland agricultural products include traditional wine, almonds, grapes, olive oil for export, and, more recently, fruits and vegetables.",autonomous community and nationality of Spain,http://vocab.getty.edu/tgn/7030216,http://www.wikidata.org/entity/Q5705,
7,Irlanda,County Monaghan,Monaghan,County Monaghan,,,,counties,"County Monaghan of the province of Ulster in the northern Republic of Ireland consists of lowlands and numerous lake and ponds, measuring some 498 square miles and peppered by drumlins, long oval mounds that occur between lakes. It was a part of the ancient kingdom of Oriel, founded in 330 CE and lasting until the Anglo-Norman invasion of 1171. Monaghan itself remained under the rule of the MacMahon clan, who avoided Anglo-Norman invasion, until the late 16th century, when the English crown took possession. Almost three-quarters of the population live on small farms that produce hay, potatoes, and oats and pasture cattle. Economic activities include dairying, retail marketing, and the manufacture of footwear, textiles, cured bacon, and furniture. The 2003 estimated population was 53,000. ",,http://vocab.getty.edu/tgn/7003503,,
7,Regno Unito,Dorset,Dorset,Dorset,,,,counties,Settled by Neolithic peoples from France 2000 BCE; evidence of Beaker people 1800 BCE and Romans until 5th century; formed core of Saxon kingdom of Wessex ca. 495 and called Wessex in Thomas Hardy novels; site of Tolpuddle martyrs cry for organized labor in the 19th century.,"ceremonial county in South West England, UK",http://vocab.getty.edu/tgn/7011961,http://www.wikidata.org/entity/Q23159,
7,Regno Unito,East Sussex,East Sussex,East Sussex,,,,counties,"Comprises chalk hills, ragged coastline, and marshes; area contained Neolithic camps, an Iron Age hill fort, and Norman castles; was source of grain and iron ore to Romans; iron industry thrived in Middle Ages; seaside resorts became important in the 18th century.",,http://vocab.getty.edu/tgn/7008129,,
7,Regno Unito,North Yorkshire,North Yorkshire,North Yorkshire,,,,counties,"County created in 1974 from most of the North Riding and parts of the West and East Ridings of Yorkshire; it is currently divided into eight districts. Langbaurgh, Middlesbrough, Stockton-on-Tees, and the city of York became independent unitary authorities in 1996. Comprises two upland plains and deep valleys; inhabited by prehistoric people; Romans ruled area; was possibly the Romano-British kingdom of Elmet before the 7th century; noted for numerous castles; economy based on farming, livestock, and food-processing; administrative center is Northallerton.","ceremonial county in England, UK",http://vocab.getty.edu/tgn/7008166,http://www.wikidata.org/entity/Q23086,
7,Spagna,Castiglia,Castilla-La Mancha,Castile-La Mancha,Castiglia-La Mancia,Südkastilien,Castille-La-Manche,autonomous communities,"Forested & agricultural area that produces wheat, grapes, sunflower, saffron, sumac, cotton, olives, sheep, pigs & goats; population has recently declined due to emigration to Madrid.",autonomous community of Spain,http://vocab.getty.edu/tgn/1001647,http://www.wikidata.org/entity/Q5748,
6,Regno Unito,Essex,Essex,Essex,,,,counties,"Comprises flat coasts, tidal inlets and islands; inhabited by prehistoric peoples, Romans by 1st century, Saxons by 5th century and by Danes after Battle of Maldon in 991; economy based on light industry, livestock, produce, and tourism in Southend and Tendring.",ceremonial county in England (use Q21272241 for administrative non-metropolitan county),http://vocab.getty.edu/tgn/7008131,http://www.wikidata.org/entity/Q23240,
6,Regno Unito,Nottinghamshire,Nottinghamshire,Nottinghamshire,,,,counties,"County in the East Midlands of England, on the east slope of the Pennine Mountains. Sherwood Forest, haunt of legendary Robin Hood, is located north of Nottingham city. Farmland and dairies in Vales of Trent and Belvoir are famous for Stilton cheese; coal measures and small mining towns characterize the west. The main industrial town is Nottingham, an independent unitary authority since 1998.",ceremonial county of England,http://vocab.getty.edu/tgn/7008167,http://www.wikidata.org/entity/Q23092,
6,Regno Unito,Tyne,Tyne and Wear,,,,,counties,"Metropolitan county created in 1974 in northeastern England; the county council was abolished in 1986 and administrative powers passed to the unitary authorities of Newcastle upon Tyne, North Tyneside, Gateshead, South Tyneside, and Sunderland; it is bounded by Northumberland to the north and west, Durham to the south, and the North Sea to the east; named for two bisecting rivers; noted for Hadrian's Wall (122 CE) and Norman fort (1080); coalfields exploited since the 13th century.",county in England,http://vocab.getty.edu/tgn/7012033,http://www.wikidata.org/entity/Q23080,
6,Regno Unito,Ulster,Northern Ireland,Northern Ireland,Irlanda del Nord,Nordirland,Irlande du Nord,countries,"Currently a consituent unit of the United Kingdom, Northern Ireland comprises the northeastern part of Ireland island, the core of the historic province of Ulster. It was ruled by the O'Neills of Tyrone in the 16th century. When the rest of Ireland demanded home rule in the late 19th century, the Protestant majority in Northern Ireland remained loyal to United Kingdom. ",part of the United Kingdom situated on the island of Ireland,http://vocab.getty.edu/tgn/7002448,http://www.wikidata.org/entity/Q26,
6,Regno Unito,West Sussex,West Sussex,West Sussex,,,,counties,"Comprises chalk hills and fertile coastal plains; early inhabitants left Bronze Age burial mounds and Iron Age hill forts; was inhabited by Romans, then Saxons in the late 5th century; noted for seaside resorts since the 14th century; is characterized by small villages.",,http://vocab.getty.edu/tgn/7008134,,
6,Regno Unito,West Yorkshire,West Yorkshire,West Yorkshire,,,,counties,"Metropolitan county in northeastern England with an area of 787 sq mi (2039 sq km), created in 1974 from the western part of the West Riding of Yorkshire. In 1986 the county council was abolished and administrative power devolved to the new unitary authorities of Bradford, Leeds, Calderdale, Kirklees, and Wakefield. Coalmining was formerly important but has declined. West Yorkshire remains the center of the English wool textile industry. Comprises deep valleys and woodlands; Pennine uplands occupied by Anglo-Saxons and Scandinavians; seat of baronial power in Middle Ages and battles during War of Roses (1455-1485); steam power, mining, and waterpower stimulated growth during Industrial Revolution.",,http://vocab.getty.edu/tgn/7029507,,
6,Slovenia,Gorenjska,Upper Carniola,Upper Carniola,,,,general regions,,,http://vocab.getty.edu/tgn/8727183,,
6,Stati Uniti d'America,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,states,"Area was home to Bluff Dwellers by 500 BCE, later to Mound Builders; Caddo, Quapaw, and others lived here when European fur traders arrived in 17th century; in Louisiana Purchase of 1803; was slave state, but only reluctantly joined Confederacy in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7016172,http://www.wikidata.org/entity/Q1612,
5,Regno Unito,New York,New York,New York,,,,inhabited places,,,http://vocab.getty.edu/tgn/7458297,,
4,Regno Unito,Middlesex,Middlesex,Middlesex,,,,former administrative divisions,"Ancient former county in southeastern England centered around River Thames. It was bounded by the Thames to the south and by its tributaries the Lea to the east and the Colne to the west; to the north was Hertfordshire. In 1965 it was divided between Hertfordshire, Surrey, and Greater London, with most being incorporated into Greater London. The area was inhabited by traders and settlers since Iron Age ca. 500 BCE, Saxons and Romans; population has been declining since late 19th century.",,http://vocab.getty.edu/tgn/7012288,,
4,Regno Unito,Suffolk,Belfast,Belfast,,,,former administrative divisions,,,http://vocab.getty.edu/tgn/7019168,,
4,Regno Unito,Worcestershire,Worcestershire,Worcestershire,,,,counties,"A county in west-central England; it was incorporated with Hereford from 1974 until 1998; it is now a separate county again. The county lies in the English Midlands to the south of Birmingham, lying mostly in the basin of the Severn. Much of the area is fertile ground with wheat being an important crop; cattle breeding and fruit growing are also important. Industries include engineering, chemicals, and food processing.",,http://vocab.getty.edu/tgn/5000227,,
4,Stati Uniti d'America,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,states,"Inhabited by prehistoric Mound Builders; Iowa, Sac, Fox, Sioux and others were here when French arrived in 17th cen.; part of Louisiana Purchase of 1803; settlers displaced Amerindians by mid-19th cen.; fought for Union & aided escaping slaves in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007253,http://www.wikidata.org/entity/Q1546,
4,Stati Uniti d'America,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,states,"Originally inhabited by Amerindian hunters; settled by French in 17th cen., by Dutch in 1724, by British after 1763; fought for independence from New Hampshire & New York, then in Revolution; saw only Confederate attack N of Pennsylvania in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007828,http://www.wikidata.org/entity/Q16551,
3,Canada,Ontario,Ontario,Ontario,,,Province d’Ontario,provinces,"Canada's 2nd largest province; originally inhabited by Huron, Erie, and Petun Indians; ceded by France to Great Britain 1763; nation's most important mining province; produces around half of world's nickel; also contains copper, iron ore, gold and zinc.",province of Canada,http://vocab.getty.edu/tgn/7013154,http://www.wikidata.org/entity/Q1904,
3,Germania,Assia,Hessen,Hesse,Assia,Hessen,Hesse,states,"The state of Hessen occupies 8,152 square miles in north-central Germany. Its territory forms the core of the medieval margraviate of Hessen, and extends west to east from the Rhine Plateau to the Thuringian Forest. The original landmargraviate of Hesse was founded from a portion of Thuringia. Its ruler, Henry I, came to hold the rank of prince in the Holy Roman Empire in 1292. Under Philip the Magnanimous, Hesse was twice partitioned and reunited, finally to be divided into four sections, one for each of his sons. In 1945 the modern state was created from the Hesse territories and part of Nassau. The capital is Wiesbaden and its largest city is Frankfurt am Main. The state is known for its educational institutions, and for the ruined castles and old churches along the Weser River, and the many half-timbered houses scattered throughout. The economy features agriculture on small or large scales, and a great deal of manufacturing, primarily in the south. The 2004 estimated population was 6,105,200",state in the center of Germany,http://vocab.getty.edu/tgn/7003678,http://www.wikidata.org/entity/Q1199,
3,Regno Unito,Bedfordshire,Bedfordshire,Bedfordshire,,,,counties,"Comprises valley of River Great Ouse; occupied by Beaker peoples early Bronze Age (ca. 1800 BCE), Romans ca. 1st century, Anglo-Saxons and Danes 5th-6th centuries; boundries almost unchanged since 11th century; contains London's overflow airports and auto plants.",,http://vocab.getty.edu/tgn/7008103,,
3,Regno Unito,Cumbria,Cumbria,Cumbria,,,,counties,"Extends along Irish Sea coast from Morecombe Bay to Solway Firth and includes famous Lake District; area occupied since Neolithic times; north part of area alternated between English and Scottish rule until 1157; economy based on fishing, farming, and livestock.",,http://vocab.getty.edu/tgn/7008117,,
3,Regno Unito,North Wales,North Wales,,,,,general regions,,,http://vocab.getty.edu/tgn/8712688,,
3,Slovenia,Istria,Istra,,,,,general regions,"Stretches into Adriatic sea; originally inhabited by Illyrian tribes, then ruled by Rome from 177 BCE; under Byzantine rule, then Venetian (11th century).",,http://vocab.getty.edu/tgn/7009395,,
2,Canada,New Brunswick,New Brunswick,Province of New Brunswick,Nuovo Brunswick,,Province de Nouveau-Brunswick,provinces,"Largely forested area bordering Quebec and Maine, noted for pine, maple, birch, spruce, fir and tamarack trees; province also supports fishing and mining.",province of Canada,http://vocab.getty.edu/tgn/7005799,http://www.wikidata.org/entity/Q1965,
2,Francia,Marche,Marche,,,,,general regions,Held by Lusignan family in 13th century; taken by dukes of Bourbon; confiscated by Francis I.,,http://vocab.getty.edu/tgn/7005155,,
2,Germania,Nord Reno-Westfalia,Nordrhein-Westfalen,North Rhine-Westphalia,Renania Settentrionale-Vestfalia,Nordrhein-Westfalen,Rhénanie du Nord-Westphalie,states,"The state of North Rhine-Westphalia is located in west central Germany. It lies bordered by Belgium and the Netherlands to the west, Hesse to the east, Lower Saxony to the north, and Rhineland-Palatinate to the south.  It was formed after World War II of an amalgamation of Prussian Westfalen, the Northeim province of Prussia, and the state of Lippe. The area suffered extensive damage during World War II. The state has since grown and developed into Germany's industrial heartland, including the Saarland region, and contains one-fifth of its total population, 18,100,000 by a 2004 estimate.  ",state in Germany,http://vocab.getty.edu/tgn/7003677,http://www.wikidata.org/entity/Q1198,
2,Grecia,Repubblica monastica del Monte Athos,Áthos,Mount Athos,,,,religious centers,"Site is a mountain forming eastern end of the Acte peninsula; it has been occupied by Greek monastic communities of St. Basil since 9th century CE; noted as the ""Holy Mountain"" of the Greek church; declared itself a theocratic republic in 1927.",,http://vocab.getty.edu/tgn/7002722,,
2,Irlanda,County Mayo,Mayo,County Mayo,,,,counties,"County Mayo in the province of Connacht in western Ireland is some 2,084 square miles in area. It has a long and rocky Atlantic coastline with many inlets and small islands. It contains the largest bog in Ireland, around 200 square miles. It was the focus of property battles between the Gaelic inhabitants and English invaders from the 12th to the 17th century. The county boasts many Neolithic remains, and was the site of the early ministry of the Christian St. Patrick. Ballintober Abbey, founded in 1216, is still in use as a church and monastic ruins are widespread.  Captured during the French Revolution, it remained under French control until 1798. To the west and north, the small farms raise mainly cattle, sheep, and pigs. Industries include clothing and woolens manufacture, flour milling, bacon, and toy manufacture. Tourism has grown considerably since the 20th century. The 2003 estimated population was 118,400.",,http://vocab.getty.edu/tgn/7003481,,
